case,dx,scale_fac,scale_fac2,xland,hfx,qfx,psfc,raincv,pratec,cu_act_flag
1,1500.0,42184362,40C56E96,40000000,43340000,399D4952,47C54400,3C806E55,3988FE39,T
2,1500.0,42184362,40C56E96,40000000,437A0000,39D1B717,47C54400,3D1C6E3F,3A26DBFF,T
3,1500.0,42184362,40C56E96,40000000,43820000,39DC3372,47C54400,3D1D11D1,3A278A79,T
4,1500.0,42184362,40C56E96,40000000,43870000,39E6AFCD,47C54400,3D31A735,3A3D7F27,T
5,1500.0,42184362,40C56E96,3F800000,43A00000,39BCBE62,47C54400,3D1CB023,3A272247,T
6,1500.0,42184362,40C56E96,40000000,437F0000,39D6F545,47C54400,3CDACC9C,39E962C9,T
7,1500.0,42184362,40C56E96,40000000,43848000,39E1719F,47C54400,3D214923,3A2C09BF,T
8,1500.0,42184362,40C56E96,40000000,430C0000,399D4952,47C54400,00000000,00000000,T
9,1500.0,42184362,40C56E96,40000000,42F00000,397BA882,47C54400,00000000,00000000,T
10,1500.0,42184362,40C56E96,3F800000,43AF0000,3988509C,47C54400,00000000,00000000,T
11,1500.0,42184362,40C56E96,40000000,43340000,399D4952,47C54400,38AD89FF,35B91BBB,T
12,1500.0,42184362,40C56E96,40000000,41F00000,3827C5AC,47C54400,00000000,00000000,T
13,1500.0,42184362,40C56E96,40000000,41C80000,37FBA882,47C54400,00000000,00000000,T
14,1500.0,42184362,40C56E96,3F800000,42340000,3827C5AC,47C54400,00000000,00000000,T
15,1500.0,42184362,40C56E96,40000000,40A00000,358637BD,47C54400,00000000,00000000,T
16,1500.0,42184362,40C56E96,40000000,00000000,00000000,47C54400,00000000,00000000,T
17,1500.0,42184362,40C56E96,3F800000,C1A00000,358637BD,47C54400,00000000,00000000,T
18,1500.0,42184362,40C56E96,40000000,42200000,387BA882,47C54400,00000000,00000000,T
1,4500.0,4139FE70,405A3513,40000000,43340000,399D4952,47C54400,3D524778,3A604C3C,T
2,4500.0,4139FE70,405A3513,40000000,437A0000,39D1B717,47C54400,3E000FB3,3B089947,T
3,4500.0,4139FE70,405A3513,40000000,43820000,39DC3372,47C54400,3E00959B,3B09281D,T
4,4500.0,4139FE70,405A3513,40000000,43870000,39E6AFCD,47C54400,3E116F62,3B1B217A,T
5,4500.0,4139FE70,405A3513,3F800000,43A00000,39BCBE62,47C54400,3E0045A5,3B08D2D2,T
6,4500.0,4139FE70,405A3513,40000000,437F0000,39D6F545,47C54400,3DB31E81,3ABF0F79,T
7,4500.0,4139FE70,405A3513,40000000,43848000,39E1719F,47C54400,3E040932,3B0CD69C,T
8,4500.0,4139FE70,405A3513,40000000,430C0000,399D4952,47C54400,00000000,00000000,T
9,4500.0,4139FE70,405A3513,40000000,42F00000,397BA882,47C54400,00000000,00000000,T
10,4500.0,4139FE70,405A3513,3F800000,43AF0000,3988509C,47C54400,00000000,00000000,T
11,4500.0,4139FE70,405A3513,40000000,43340000,399D4952,47C54400,391D043D,36277BFD,T
12,4500.0,4139FE70,405A3513,40000000,41F00000,3827C5AC,47C54400,00000000,00000000,T
