case,dx,k,pmfu,pmfus,pmfuq,pmful,pdmfup,plude,pmfude_rate,paph,pmfd,pmfds,pmfdq,pdmfdp,pmfdde_rate
1,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000,00000000,00000000,00000000,00000000
1,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,45EE9B40,00000000,00000000,00000000,00000000,00000000
1,1500.0,3,3C205F18,45562E64,3233B93A,36A2018C,365BFADA,361F0A4B,3B3D0B10,46202EB0,00000000,00000000,00000000,00000000,00000000
1,1500.0,4,3C4FA1DC,458AA470,33CFE889,372EADD3,36BCAD92,35A42C6A,3A813288,4648C210,00000000,00000000,00000000,00000000,00000000
1,1500.0,5,3C5FC82D,45956577,34EA87C8,378E2E91,36FE8840,34DDD92B,397A0D40,467106C0,00000000,00000000,00000000,00000000,00000000
1,1500.0,6,3C63B05E,4597ED13,35B21086,37CA0200,371A1252,2E1A8EF1,328551B5,468C7DC8,00000000,00000000,00000000,00000000,00000000
1,1500.0,7,3C63B060,4597C417,3651AF57,3803FB2D,372F3DBE,2F225001,3362A648,46A04FA4,00000000,00000000,00000000,00000000,00000000
1,1500.0,8,3C63B066,45977EE3,36CEB961,38230E94,373FCAB1,300BAB10,34253E0B,46B3F860,00000000,00000000,00000000,00000000,00000000
1,1500.0,9,3C63B07A,45971A12,373196FE,38407350,374B8574,30CD0BE2,34D4F8B5,46C77754,00000000,00000000,00000000,00000000,00000000
1,1500.0,10,3C63B0B5,45969722,37890980,385B37AB,37532EE7,316B7A23,355C209A,46DACBE0,00000000,00000000,00000000,00000000,00000000
1,1500.0,11,3C63B113,4595FC97,37C1F6A9,387391A5,3754C1D8,31F04CA1,35CE919D,46EDF550,00000000,00000000,00000000,00000000,00000000
1,1500.0,12,3C63B182,4595492F,3800E82F,38846FCA,37446661,3260DC24,363701DA,47007974,00000000,00000000,00000000,00000000,00000000
1,1500.0,13,3C63B1DC,459481C9,38233123,388BE235,37308F22,32C4F3D4,369B6C8E,4709E1F6,00000000,00000000,00000000,00000000,00000000
1,1500.0,14,3C63B1CD,4593AF8F,3846B5BD,38904440,371A7BF2,3324D6AE,3700C7B8,471333CA,00000000,00000000,00000000,00000000,00000000
1,1500.0,15,3C63B0BC,4592D8F5,386AABEB,3891B8CA,370DB397,33856287,375069F3,471C6E89,00000000,00000000,00000000,00000000,00000000
1,1500.0,16,3C63ADC2,4592021D,38874434,3891B6E2,370AC6C0,33D170CB,37A3A01F,472591C4,00000000,00000000,00000000,00000000,00000000
1,1500.0,17,3C63A776,45912D2B,3898F808,3891B2DB,3706770C,341EC3B4,37F811C9,472E9D0C,00000000,00000000,00000000,00000000,00000000
1,1500.0,18,3C639BB8,45905AD6,38AA54D1,3891AB57,37019DDA,3467AD02,3834FF2A,47378FE4,00000000,00000000,00000000,00000000,00000000
1,1500.0,19,3C63877E,458F89F4,38BB5BC8,38919E65,3703D03D,34A25F49,387DB4E2,474069D0,00000000,00000000,00000000,00000000,00000000
1,1500.0,20,3C63669C,458EB03A,38CD0289,38918959,370306D0,34DA597D,38AA95EA,47492A4A,00000000,00000000,00000000,00000000,00000000
1,1500.0,21,3C6333A0,458DDFE4,38DEFBE9,389168B8,36843A9B,350541C9,38DBD917,4751D0C6,00000000,00000000,00000000,00000000,00000000
1,1500.0,22,3C62E7D6,458D11DE,38F0F04F,388988E9,3638C015,3518E3BE,3907A024,475A5CB1,00000000,00000000,00000000,00000000,00000000
1,1500.0,23,3C627B95,458C3510,390158C0,387F4FEE,3632381C,35286C00,392110ED,4762CD6E,00000000,00000000,00000000,00000000,00000000
1,1500.0,24,3C61E5E2,458B43E5,390A0E55,386C36ED,362BE3E4,3534AB78,393AC082,476B2254,00000000,00000000,00000000,00000000,00000000
1,1500.0,25,3C611C8E,458A3871,39128C73,3859C7B1,3625A1ED,35438BEA,395AFB2E,47735AB4,00000000,00000000,00000000,00000000,00000000
1,1500.0,26,3C601AB4,45891055,391ACFFA,38481F16,361F6764,35544BFC,3981082F,477B75D0,00000000,00000000,00000000,00000000,00000000
1,1500.0,27,3C5EDAAF,4587C8B9,3922D5B0,383754DC,36193948,35631DFB,39961E9A,4781B970,00000000,00000000,00000000,00000000,00000000
1,1500.0,28,3C5D53D3,45865CB5,392A9224,38276C90,36130E6A,356F932F,39AC85D5,4785A886,00000000,00000000,00000000,00000000,00000000
1,1500.0,29,3C5B7D9B,4584C772,3931F7C8,3818660A,360CE04E,35794CC3,39C3F13A,478987B5,00000000,00000000,00000000,00000000,00000000
1,1500.0,30,3C595001,45830469,3938F6D0,380A3EA7,3606AA2B,357FFC00,39DC0159,478D5682,00000000,00000000,00000000,00000000,00000000
1,1500.0,31,3C56C3DD,45810F92,393F7D68,37F9E322,36006B00,3581B3DC,39F449F9,47911463,00000000,00000000,00000000,00000000,00000000
1,1500.0,32,3C53D33C,457DCB2E,3945784C,37E0EEBA,35F44568,3581B3C4,3A062754,4794C0C7,00000000,00000000,00000000,00000000,00000000
1,1500.0,33,3C5079CC,45790830,394AD30B,37C98EE8,35E7A981,357FE528,3A11C4A8,47985B0D,00000000,00000000,00000000,00000000,00000000
1,1500.0,34,3C4CB538,4573D3B2,394F7910,37B3AE84,35DB0E84,3578DDA1,3A1CB693,479BE286,00000000,00000000,00000000,00000000,00000000
1,1500.0,35,3C48857A,456E2DEA,39535625,379F37A2,35CE867B,356E5F14,3A26B5DB,479F5670,00000000,00000000,00000000,00000000,00000000
1,1500.0,36,3C43ED22,456819FD,39565799,378C12AD,35C22995,3560867C,3A2F7CA8,47A2B5F3,00000000,00000000,00000000,00000000,00000000
1,1500.0,37,3C3EF186,45619E44,39586D5D,37744D11,35B61316,354F82F2,3A36C837,47A60021,00000000,00000000,00000000,00000000,00000000
1,1500.0,38,3C399AE2,455AC460,39598AB8,3752B763,35AA5C9A,353B94E7,3A3C5D2D,47A933EB,00000000,00000000,00000000,00000000,00000000
1,1500.0,39,3C33F455,45539935,3959A789,37333500,359EFADF,352509CC,3A400617,47AC501F,00000000,00000000,00000000,00000000,00000000
1,1500.0,40,3C2E0BD6,454C2CE6,3958C101,3715964F,3593E4B5,350F1855,3A449E6A,47AF535C,00000000,00000000,00000000,00000000,00000000
1,1500.0,41,3C27F38F,4544956F,3956F354,36F47688,358A2074,34F0CBA1,3A48200F,47B23C0A,00000000,00000000,00000000,00000000,00000000
1,1500.0,42,3C21BE8A,453CE919,395453ED,36C29D54,3582BBE1,34C1BC7A,3A490AF8,47B50844,00000000,00000000,00000000,B51356F3,00000000
1,1500.0,43,3C1B814E,45353F51,3950F523,3695DA7E,357C3F03,349380E0,3A471AB7,47B7B5C4,BB503DCD,C4723A4B,B886EDE9,B57C0504,00000000
1,1500.0,44,3C15528D,452DB1EE,394CF025,365D3F1D,3572658C,344F9FA6,3A4204F4,47BA41BE,BB503DCD,C471A554,B888B89D,B534FA4B,38A204B6
1,1500.0,45,3C0F4B59,45265D83,39486607,36195784,34E400DC,33AB7962,3A396AA7,47BCA8A3,BB22CE89,C43C8066,B8589C17,B4F7C304,3A35BD10
1,1500.0,46,3C0987C2,451F6224,39438105,357E6099,00000000,00000000,00000000,47BEE5BD,BAF0EBA2,C40B2EED,B822345B,B498C605,3A2962DD
1,1500.0,47,3C0987C2,451F3C3E,39447F60,2EB8970D,00000000,00000000,00000000,47C0F26C,BAA361F0,C3BC6BDF,B7DE6363,B41C031A,3A1B1364
1,1500.0,48,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C2C476,BA3D05BC,C359A099,B781DCE0,B34B0E60,3A09BE24
1,1500.0,49,00000000,00000000,00000000,00000000,00000000,00000000,00000000,47C4491D,B9944DE3,C2AA82C8,B6CD5D02,00000000,39E5BD95
2,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,459C4000,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,45EE9B40,00000000,00000000,00000000,00000000,00000000
2,1500.0,3,3ECA253E,480AA9EA,36030776,3998DDC7,394E95DF,38600FAB,3D3452AF,46202EB0,00000000,00000000,00000000,00000000,00000000
2,1500.0,4,3EE0AF94,481A189C,37559DE7,3A0B979E,3995102F,389DB029,3D2C761A,4648C210,00000000,00000000,00000000,00000000,00000000
2,1500.0,5,3EF63E57,4828C7AB,3852D163,3A61266A,39C615CE,38CD691C,3D270168,467106C0,00000000,00000000,00000000,00000000,00000000
2,1500.0,6,3F058F41,4836D7CB,3915B135,3AA445FB,39F58AED,38FA90B7,3D22EE89,468C7DC8,00000000,00000000,00000000,00000000,00000000
2,1500.0,7,3F0FBE24,48445211,39A7C9F0,3ADD0E2C,3A0FD76B,39111F6F,3D1FB9B8,46A04FA4,00000000,00000000,00000000,00000000,00000000
2,1500.0,8,3F19B9AB,48513BA3,3A1DAEB2,3B0BABD1,3A21834D,3921F49C,3D1D181A,46B3F860,00000000,00000000,00000000,00000000,00000000
2,1500.0,9,3F238AF0,485D9EF5,3A81C487,3B289A88,3A30263B,39306F5E,3D1ADC92,46C77754,00000000,00000000,00000000,00000000,00000000
2,1500.0,10,3F2D3817,48698978,3AC132FC,3B455991,3A31BE9F,39311794,3D112E15,46DACBE0,00000000,00000000,00000000,00000000,00000000
2,1500.0,11,3F36498C,487453A9,3B05C158,3B5E5B20,3A277706,392A7218,3D06A17A,46EDF550,00000000,00000000,00000000,00000000,00000000
2,1500.0,12,3F3EB0BF,487DFC76,3B2EEDD3,3B716B23,3A181C4D,3920A19F,3CFAFC89,47007974,00000000,00000000,00000000,00000000,00000000
2,1500.0,13,3F468322,4883598F,3B5AF751,3B7E187D,3A11FFA6,391668E7,3CEB03EA,4709E1F6,00000000,00000000,00000000,00000000,00000000
2,1500.0,14,3F4DD13D,48874E04,3B847AEA,3B83B91D,3A142D8D,390DC6C9,3CDD869A,471333CA,00000000,00000000,00000000,00000000,00000000
2,1500.0,15,3F54ABD1,488AEC0A,3B9C1DE7,3B881C0B,3A148F82,39068A1D,3CD237CE,471C6E89,00000000,00000000,00000000,00000000,00000000
2,1500.0,16,3F5B1F9C,488E401E,3BB42361,3B8C3D30,3A143C37,390039D9,3CC85A63,472591C4,00000000,00000000,00000000,00000000,00000000
2,1500.0,17,3F613182,48914FDB,3BCC6CE4,3B901FAF,3A1C6233,38F4F0F9,3CBF5C43,472E9D0C,00000000,00000000,00000000,00000000,00000000
2,1500.0,18,3F66DFB6,48941215,3BE6083A,3B93C260,3A1F94C1,38EA05C9,3CB6D485,47378FE4,00000000,00000000,00000000,00000000,00000000
2,1500.0,19,3F6C2338,48969FBB,3C002734,3B9720C7,3A206D8C,38DF4E87,3CAE755A,474069D0,00000000,00000000,00000000,00000000,00000000
2,1500.0,20,3F70F160,4898EB25,3C0D7325,3B9A3414,3A1F0BEF,38D48529,3CA60808,47492A4A,00000000,00000000,00000000,00000000,00000000
2,1500.0,21,3F753DE1,489AE306,3C1ABA61,3B9CF467,3A1C4E84,38C97845,3C9D65F6,4751D0C6,00000000,00000000,00000000,00000000,00000000
2,1500.0,22,3F78FD31,489C8158,3C27DA77,3B9F5A5D,3A18E273,38BE06B4,3C94753D,475A5CB1,00000000,00000000,00000000,00000000,00000000
2,1500.0,23,3F7C26B7,489DC247,3C34B965,3BA16075,3A14D5FC,38B22B5B,3C8B31DF,4762CD6E,00000000,00000000,00000000,00000000,00000000
2,1500.0,24,3F7EB1B7,489EA1DD,3C413C43,3BA30119,3A10328E,38A6A592,3C82315A,476B2254,00000000,00000000,00000000,00000000,00000000
2,1500.0,25,3F804C55,489F1E1B,3C4D4A8E,3BA438BE,39648E3B,389377A6,3C75D536,47735AB4,00000000,00000000,00000000,00000000,00000000
2,1500.0,26,3F80EB32,489F3566,3C58D0D9,3B9AAB27,39340186,388236EA,3C69F70F,477B75D0,00000000,00000000,00000000,00000000,00000000
2,1500.0,27,3F812F59,489EE1C6,3C63B7C7,3B8FCC12,392E639F,38650161,3C5E345B,4781B970,00000000,00000000,00000000,00000000,00000000
2,1500.0,28,3F81128D,489E1CEC,3C6DE0B2,3B8505DD,39287B41,384873FC,3C528747,4785A886,00000000,00000000,00000000,00000000,00000000
2,1500.0,29,3F808F5A,489CE179,3C772BCE,3B74D098,392247A3,382E9461,3C46EDCD,478987B5,00000000,00000000,00000000,00000000,00000000
2,1500.0,30,3F7F42E5,489B2B69,3C7F78FB,3B60044D,391BC8F7,38173329,3C3B6733,478D5682,00000000,00000000,00000000,00000000,00000000
2,1500.0,31,3F7C8C0A,4898F87A,3C83545C,3B4BC24D,39150479,3802256C,3C2FF7E8,47911463,00000000,00000000,00000000,00000000,00000000
2,1500.0,32,3F78F819,4896487F,3C864ECA,3B382335,390E00C7,37DE830C,3C24A507,4794C0C7,00000000,00000000,00000000,00000000,00000000
2,1500.0,33,3F748921,48931DA7,3C889E96,3B253DB3,3906C89A,37BCC148,3C1976F5,47985B0D,00000000,00000000,00000000,00000000,00000000
2,1500.0,34,3F6F45B1,488F7CB6,3C8A38E0,3B1325B7,38FED2A1,379EBB21,3C0E7770,479BE286,00000000,00000000,00000000,00000000,00000000
2,1500.0,35,3F693908,488B6D18,3C8B15C3,3B01EC92,38EFE58C,378429CD,3C03B1DD,479F5670,00000000,00000000,00000000,00000000,00000000
2,1500.0,36,3F627312,4886F8D9,3C8B30F8,3AE3414E,38E0EBC2,3759923E,3BF264EF,47A2B5F3,00000000,00000000,00000000,00000000,00000000
2,1500.0,37,3F5B0839,48822C86,3C8A8A6A,3AC49A01,38D203F0,3730AF08,3BDE09CC,47A60021,00000000,00000000,00000000,00000000,00000000
2,1500.0,38,3F531103,487A2DDB,3C89267A,3AA7F3FB,38C3426C,370D2D48,3BCA6A1E,47A933EB,00000000,00000000,00000000,00000000,00000000
2,1500.0,39,3F4AA97B,486F918A,3C870E3E,3A8D597A,38B494E9,36DD2377,3BB799FB,47AC501F,00000000,00000000,00000000,00000000,00000000
