case,dx,ldcum,ktype,kcbot,kdtop,zmfub1,zmfub
1,1500.0,1,1,47,43,3C2D88D5,3C0987C2
2,1500.0,1,1,46,45,3CD4E357,3F158E39
3,1500.0,1,1,46,45,3CD577F2,3F158E39
4,1500.0,1,1,47,46,3CE99ECC,3F08EBA5
5,1500.0,1,1,46,44,3CCF61D3,3F158E39
6,1500.0,1,1,46,45,3C966B8D,3F158E39
7,1500.0,1,1,46,45,3CD9D0F1,3F158E39
8,1500.0,0,3,34,50,00000000,3BB211F3
9,1500.0,0,3,38,50,00000000,3B798E49
10,1500.0,0,3,35,50,00000000,3BA4E4A3
11,1500.0,1,2,47,50,3AB2541C,3C0987C2
12,1500.0,0,3,21,50,00000000,3D109FA5
13,1500.0,0,3,22,50,00000000,3D0F34EF
14,1500.0,0,3,22,50,00000000,3D0F86FA
15,1500.0,0,0,-1,50,00000000,00000000
16,1500.0,0,3,18,50,00000000,2EDBE6FF
17,1500.0,1,3,41,50,3C9636B1,3C9636B1
18,1500.0,1,3,35,50,3D007A5E,3D007A5E
1,4500.0,1,1,47,43,3D0E103A,3C0987C2
2,4500.0,1,1,46,45,3DAE47AF,3F158E39
3,4500.0,1,1,46,45,3DAEC156,3F158E39
4,4500.0,1,1,47,46,3DBF409E,3F08EBA5
5,4500.0,1,1,46,44,3DA9C5CA,3F158E39
6,4500.0,1,1,46,45,3D764821,3F158E39
7,4500.0,1,1,46,45,3DB2507D,3F158E39
8,4500.0,0,3,34,50,00000000,3BB211F3
9,4500.0,0,3,38,50,00000000,3B798E49
10,4500.0,0,3,35,50,00000000,3BA4E4A3
11,4500.0,1,2,47,50,3B21599C,3C0987C2
12,4500.0,0,3,21,50,00000000,3D109FA5
13,4500.0,0,3,22,50,00000000,3D0F34EF
14,4500.0,0,3,22,50,00000000,3D0F86FA
15,4500.0,0,0,-1,50,00000000,00000000
16,4500.0,0,3,18,50,00000000,2EDBE6FF
17,4500.0,1,3,41,50,3C9636B1,3C9636B1
18,4500.0,1,3,35,50,3D007A5E,3D007A5E
1,9000.0,1,1,47,43,3DD47E2F,3C0987C2
2,9000.0,1,1,46,45,3E825735,3F158E39
3,9000.0,1,1,46,45,3E82B230,3F158E39
4,9000.0,1,1,47,46,3E8F08B2,3F08EBA5
5,9000.0,1,1,46,44,3E7DF075,3F158E39
6,9000.0,1,1,46,45,3E383079,3F158E39
7,9000.0,1,1,46,45,3E855B9F,3F158E39
8,9000.0,0,3,34,50,00000000,3BB211F3
9,9000.0,0,3,38,50,00000000,3B798E49
10,9000.0,0,3,35,50,00000000,3BA4E4A3
11,9000.0,1,2,47,50,3B8B8920,3C0987C2
12,9000.0,0,3,21,50,00000000,3D109FA5
13,9000.0,0,3,22,50,00000000,3D0F34EF
14,9000.0,0,3,22,50,00000000,3D0F86FA
15,9000.0,0,0,-1,50,00000000,00000000
16,9000.0,0,3,18,50,00000000,2EDBE6FF
17,9000.0,1,3,41,50,3C9636B1,3C9636B1
18,9000.0,1,3,35,50,3D007A5E,3D007A5E
1,13500.0,1,1,47,43,3E81FCFA,3C0987C2
2,13500.0,1,1,46,45,3F1F776B,3F158E39
3,13500.0,1,1,46,45,3F1FE6BB,3F158E39
4,13500.0,1,1,47,46,3F2EFF08,3F08EBA5
5,13500.0,1,1,46,44,3F1B579A,3F158E39
6,13500.0,1,1,46,45,3EE15920,3F158E39
7,13500.0,1,1,46,45,3F23286F,3F158E39
8,13500.0,0,3,34,50,00000000,3BB211F3
9,13500.0,0,3,38,50,00000000,3B798E49
10,13500.0,0,3,35,50,00000000,3BA4E4A3
11,13500.0,1,2,47,50,3BDA453B,3C0987C2
12,13500.0,0,3,21,50,00000000,3D109FA5
13,13500.0,0,3,22,50,00000000,3D0F34EF
14,13500.0,0,3,22,50,00000000,3D0F86FA
15,13500.0,0,0,-1,50,00000000,00000000
16,13500.0,0,3,18,50,00000000,2EDBE6FF
17,13500.0,1,3,41,50,3C9636B1,3C9636B1
18,13500.0,1,3,35,50,3D007A5E,3D007A5E
1,15000.0,1,1,47,43,3EAC1890,3C0987C2
2,15000.0,1,1,46,45,3F531F8D,3F158E39
3,15000.0,1,1,46,45,3F53B2EC,3F158E39
4,15000.0,1,1,47,46,3F67AF04,3F08EBA5
5,15000.0,1,1,46,44,3F4DA9B9,3F158E39
6,15000.0,1,1,46,45,3F152C55,3F158E39
7,15000.0,1,1,46,45,3F5802B2,3F158E39
8,15000.0,0,3,34,50,00000000,3BB211F3
9,15000.0,0,3,38,50,00000000,3B798E49
10,15000.0,0,3,35,50,00000000,3BA4E4A3
11,15000.0,1,2,47,50,3C0987C2,3C0987C2
12,15000.0,0,3,21,50,00000000,3D109FA5
13,15000.0,0,3,22,50,00000000,3D0F34EF
14,15000.0,0,3,22,50,00000000,3D0F86FA
15,15000.0,0,0,-1,50,00000000,00000000
16,15000.0,0,3,18,50,00000000,2EDBE6FF
17,15000.0,1,3,41,50,3C9636B1,3C9636B1
18,15000.0,1,3,35,50,3D007A5E,3D007A5E
1,27000.0,1,1,47,43,3E97E2F9,3C0987C2
2,27000.0,1,1,46,45,3F3A54B6,3F158E39
3,27000.0,1,1,46,45,3F3AD6C7,3F158E39
