case,k,tslb,smois,isltyp,ivgtyp,xice,sh2o,smfr3d,mavail,znt
warm_land,1,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,2,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,3,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,4,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,5,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,6,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,7,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,8,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
warm_land,9,280.000000,0.200000003,1,1,0.00000000,0.200000003,0.00000000,1.00000000,0.800000012
frozen_land,1,272.799988,0.300000012,4,10,0.00000000,0.227129221,0.809675455E-1,0.794029891,0.750000030E-1
frozen_land,2,271.000000,0.310000002,4,10,0.00000000,0.161058292,0.165490776,0.794029891,0.750000030E-1
frozen_land,3,268.000000,0.319999993,4,10,0.00000000,0.136298716,0.204112515,0.794029891,0.750000030E-1
frozen_land,4,265.000000,0.330000013,4,10,0.00000000,0.124725714,0.228082553,0.794029891,0.750000030E-1
frozen_land,5,270.000000,0.340000004,4,10,0.00000000,0.149755731,0.211382523,0.794029891,0.750000030E-1
frozen_land,6,274.000000,0.349999994,4,10,0.00000000,0.349999994,0.00000000,0.794029891,0.750000030E-1
frozen_land,7,276.000000,0.360000014,4,10,0.00000000,0.360000014,0.00000000,0.794029891,0.750000030E-1
frozen_land,8,278.000000,0.370000005,4,10,0.00000000,0.370000005,0.00000000,0.794029891,0.750000030E-1
frozen_land,9,280.000000,0.379999995,4,10,0.00000000,0.379999995,0.00000000,0.794029891,0.750000030E-1
water,1,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,2,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,3,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,4,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,5,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,6,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,7,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,8,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
water,9,280.000000,0.200000003,14,17,0.00000000,1.00000000,0.00000000,1.00000000,0.999999975E-4
sea_ice,1,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,2,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,3,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,4,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,5,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,6,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,7,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,8,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
sea_ice,9,280.000000,0.200000003,16,15,0.400000006,0.00000000,1.00000000,1.00000000,0.109999999E-1
