case,n,tn,r_raw,qsn
clamp_low,1,-50.0000000,-4462.00000,0.856016777E-5
clamp_low,2,0.00000000,-3461.99976,0.856016777E-5
clamp_low,3,100.000000,-1461.99988,0.856016777E-5
clamp_low,4,150.000000,-461.999878,0.856016777E-5
clamp_low,5,170.000000,-61.9998779,0.856016777E-5
clamp_low,6,173.000000,-1.99987793,0.856016777E-5
clamp_low,7,173.100006,0.244140625E-3,0.856016777E-5
clamp_low,8,173.139999,0.800109863,0.856016777E-5
clamp_low,9,173.149902,0.998168945,0.856016777E-5
node_low,10,173.149994,1.00000000,0.856016777E-5
interior,11,173.160004,1.20019531,0.857783016E-5
interior,12,173.175003,1.50018311,0.860429736E-5
interior,13,173.190002,1.80017090,0.863076366E-5
interior,14,173.199905,1.99822998,0.864823778E-5
interior,15,180.000000,138.000122,0.330780676E-4
interior,16,190.000000,338.000122,0.199778660E-3
interior,17,200.000000,538.000122,0.100798614E-2
interior,18,200.012497,538.250061,0.100992969E-2
interior,19,200.024994,538.500000,0.101187313E-2
interior,20,200.037506,538.750244,0.101381913E-2
interior,21,200.048996,538.980042,0.101560599E-2
interior,22,210.000000,738.000122,0.435925135E-2
interior,23,220.000000,938.000122,0.165026169E-1
interior,24,230.000000,1138.00012,0.556440391E-1
interior,25,233.149994,1201.00000,0.798577592E-1
interior,26,240.000000,1338.00012,0.169548199
interior,27,250.000000,1538.00012,0.472559482
interior,28,250.001007,1538.02026,0.472606391
interior,29,250.009995,1538.19995,0.473025113
interior,30,250.020004,1538.40015,0.473491639
interior,31,250.029999,1538.60010,0.473957568
interior,32,250.039993,1538.79993,0.474423230
interior,33,250.049896,1538.99805,0.474884897
interior,34,255.000000,1638.00012,0.765497744
interior,35,260.000000,1738.00012,1.21709931
interior,36,265.000000,1838.00012,1.90151095
interior,37,270.000000,1938.00012,2.92210937
interior,38,271.399994,1966.00000,3.28633547
interior,39,272.000000,1978.00012,3.45473623
interior,40,273.000000,1998.00012,3.75297141
interior,41,273.100006,2000.00024,3.78404737
interior,42,273.149902,2000.99817,3.80379415
interior,43,273.149994,2001.00000,3.80383039
interior,44,273.160004,2001.20020,3.80659723
interior,45,273.200012,2002.00037,3.81765580
interior,46,274.000000,2018.00012,4.04491615
interior,47,275.000000,2038.00012,4.34580946
interior,48,280.000000,2138.00000,6.16798067
interior,49,285.000000,2238.00000,8.63498402
interior,50,290.000000,2338.00000,11.9335308
interior,51,293.149994,2401.00000,14.5395632
interior,52,295.000000,2438.00000,16.2922993
interior,53,300.000000,2538.00000,21.9884968
interior,54,305.000000,2638.00000,29.3549042
interior,55,310.000000,2738.00000,38.7874069
interior,56,315.000000,2838.00000,50.7529182
interior,57,320.000000,2938.00000,65.7976532
interior,58,330.000000,3138.00000,107.758034
interior,59,340.000000,3338.00000,170.956345
interior,60,350.000000,3538.00000,263.517578
interior,61,360.000000,3738.00000,395.693512
interior,62,370.000000,3938.00000,580.143555
interior,63,380.000000,4138.00000,832.198914
interior,64,390.000000,4338.00000,1170.10242
interior,65,400.000000,4538.00000,1615.21252
interior,66,410.000000,4738.00000,2192.17065
interior,67,415.000000,4838.00000,2538.72437
interior,68,420.000000,4938.00000,2929.03296
interior,69,422.000000,4978.00000,3098.30640
interior,70,423.000000,4998.00000,3185.89551
interior,71,423.049988,4999.00000,3190.32715
interior,72,423.100006,5000.00000,3194.76318
interior,73,423.149902,5000.99805,3199.19653
node_high,74,423.149994,5001.00000,3199.20532
clamp_high,75,423.160004,5001.20020,3199.20532
clamp_high,76,423.200012,5002.00049,3199.20532
clamp_high,77,424.000000,5018.00000,3199.20532
clamp_high,78,430.000000,5138.00000,3199.20532
clamp_high,79,450.000000,5538.00000,3199.20532
clamp_high,80,500.000000,6538.00000,3199.20532
clamp_high,81,1000.00000,16538.0000,3199.20532
