case_index,k,delt,c1sn,c2sn,isice,ivgtyp,seaice,gsw,tabs,tsnav,prcpms,newsnms,vegfra,lai,sat,soilt,snowfallac,alb_snow,alb_snow_free,snowrat,grauprat,icerat,curat,iland_before,snwe_before,snhei_before,snowfrac_before,rhosn_before,rhosnfall_before,cst_before,alb_before,emiss_before,znt_before,ts1d,snhei_crit,snhei_crit_newsn,zntsn,snow_mosaic,snfr,newsn,newsnowratio,snowfracnewsn,rhonewsn,smelt,rainf,rsm,dd1,infiltr,vegfrac,drip,dripsn,dripliq,smf,interw,intersn,infwater,intwratio,gswnew,gswin,albice,albsn,emissn,emiss_snowfree,keep_snow_albedo,snowfrac2,iland_after,snwe_after,snhei_after,snowfrac_after,rhosn_after,rhosnfall_after,cst_after,alb_after,emiss_after,znt_after,tice,rhosice,capice,thdifice
1,1,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,291,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,2,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,290.200012,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,3,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,289.399994,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,4,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,288.600006,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,5,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,287.799988,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,6,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,287,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,7,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,286.200012,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,8,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,285.399994,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
1,9,60,0.0260000005,21,15,10,0,520,291,0,3.99999999e-06,0,65,2.9000001,0.000500000024,292,0,0.699999988,0.180000007,0,0,0,0,10,0,0,0,200,100,0.000479999988,0.219999999,0.920000017,0.075000003,284.600006,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0.000509851729,0,0.649999976,9.85170482e-06,0,0,0,2.98517571e-05,0,3.50247069e-06,1,520,666.666687,0.180000007,0.699999988,0.980000019,0.920000017,nan,nan,10,0,0,0,200,100,0.000500000024,0.219999999,0.920000017,0.075000003,0,0,0,0
2,1,30,0.0260000005,21,15,16,0,480,288,0,6.00000021e-06,0,0,0.75,0.000500000024,289,0,0.699999988,0.180000007,0,0,0,0,16,0,0,0,200,100,9.99999975e-05,0.180000007,0.930000007,0.0649999976,288,0.0800499991,0.00249999994,0.0109999999,1,1,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,6.00000021e-06,0,480,585.365845,0.180000007,0.699999988,0.980000019,0.850000024,nan,nan,16,0,0,0,200,100,0,0.180000007,0.930000007,0.0649999976,0,0,0,0
