case,k,delt,ktau,conflx,iland,isoil,myj,meltfactor,rhonewsn,snhei_crit,prcpms,rainf,newsnow,snhei_before,snwe_before,snowfrac,rhosn_before,patm,qvatm,qcatm,glw,gsw,emiss_before,rnet,qkms,tkms,rho,alb_before,znt_before,xlv,cp,rovcp,cw,stbolt,tabs,zsmain,zshalf,tice,rhosice,capice,thdifice,tso_before,tso_after,soilt_before,soilt_after,soilt1_before,soilt1_after,tsnav_before,tsnav_after,qvg_before,qvg_after,qsg_before,qsg_after,qcg_before,qcg_after,dew_before,dew_after,snwe_after,snhei_after,rhosn_after,emiss_after,alb_after,znt_after,ilnb_before,ilnb_after,snweprint,snheiprint,rsm,smelt,snoh,snflx,snom_before,snom_after,eeta,qfx,hfx,s_before,s_after,sublim,prcpl,fltot
blended_thin_on_ice,1,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,0.00000000,0.00000000,-22.1499939,914.258606,1776583.00,0.127259568E-5,251.000000,252.861130,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,2,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,0.999999978E-2,0.499999989E-2,-20.1499939,914.559326,1791425.00,0.126205225E-5,253.000000,253.185867,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,3,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,0.399999991E-1,0.249999985E-1,-18.1499939,914.860168,1806276.62,0.125167537E-5,255.000000,254.950516,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,4,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,0.100000001,0.700000003E-1,-16.1499939,915.161255,1821138.00,0.124146106E-5,257.000000,256.986359,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,5,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,0.300000012,0.200000003,-14.1499939,915.462646,1836009.50,0.123140535E-5,259.000000,258.998962,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,6,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,0.600000024,0.450000018,-12.1499939,915.764099,1850890.50,0.122150493E-5,261.000000,260.999603,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,7,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,1.00000000,0.800000012,-10.1499939,916.065796,1865781.38,0.121175606E-5,263.000000,262.999786,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,8,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,1.60000002,1.29999995,-8.14999390,916.367615,1880681.88,0.120215543E-5,265.000000,264.999878,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
blended_thin_on_ice,9,60.0000000,1,40.0000000,24,16,0,1.00000000,100.000000,0.106733337,0.00000000,0.00000000,0.00000000,0.266666673E-1,0.400000019E-2,1.00000000,150.000000,0.949999988,0.600000028E-3,0.00000000,180.000000,20.0000000,0.990000010,-40.0000000,0.899999961E-2,0.800000038E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,253.000000,3.00000000,2.29999995,-6.14999390,916.669800,1895592.62,0.119269919E-5,267.000000,267.000000,252.000000,251.995148,252.000000,252.861130,-21.1499939,-20.7218628,0.604410016E-3,0.604395289E-3,0.604410016E-3,0.604396162E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.399999693E-2,0.266666468E-1,150.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.399999693E-2,0.266666468E-1,0.00000000,0.00000000,0.00000000,-26.2822781,0.00000000,0.00000000,0.514347640E-7,0.145817563,-10.6524668,0.00000000,-26.2822781,0.514347640E-7,0.00000000,0.00000000
one_layer_on_ice,1,60.0000000,1,40.0000000,24,16,0,1.00000000,120.000000,0.640399978E-1,0.00000000,0.00000000,0.100000005E-2,0.119999997,0.299999993E-1,0.899999976,250.000000,0.949999988,0.100000005E-2,0.00000000,200.000000,35.0000000,0.990000010,-25.0000000,0.999999978E-2,0.899999961E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,258.000000,0.00000000,0.00000000,-17.1499939,915.010681,1813706.12,0.124654809E-5,256.000000,256.466705,257.000000,256.990723,257.000000,256.466705,-16.1499939,-16.4212952,0.971370027E-3,0.971281203E-3,0.971370027E-3,0.971283007E-3,0.00000000,0.00000000,0.00000000,0.287170394E-6,0.300000217E-1,0.120000087,250.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.300000217E-1,0.120000087,0.00000000,0.00000000,0.00000000,1.15720499,0.00000000,0.00000000,-0.373321512E-6,-1.05836654,-12.0367985,0.00000000,1.15720499,-0.373321512E-6,0.00000000,0.00000000
one_layer_on_ice,2,60.0000000,1,40.0000000,24,16,0,1.00000000,120.000000,0.640399978E-1,0.00000000,0.00000000,0.100000005E-2,0.119999997,0.299999993E-1,0.899999976,250.000000,0.949999988,0.100000005E-2,0.00000000,200.000000,35.0000000,0.990000010,-25.0000000,0.999999978E-2,0.899999961E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,258.000000,0.999999978E-2,0.499999989E-2,-15.5499878,915.251648,1825598.62,0.123842767E-5,257.600006,257.346985,257.000000,256.990723,257.000000,256.466705,-16.1499939,-16.4212952,0.971370027E-3,0.971281203E-3,0.971370027E-3,0.971283007E-3,0.00000000,0.00000000,0.00000000,0.287170394E-6,0.300000217E-1,0.120000087,250.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.300000217E-1,0.120000087,0.00000000,0.00000000,0.00000000,1.15720499,0.00000000,0.00000000,-0.373321512E-6,-1.05836654,-12.0367985,0.00000000,1.15720499,-0.373321512E-6,0.00000000,0.00000000
one_layer_on_ice,3,60.0000000,1,40.0000000,24,16,0,1.00000000,120.000000,0.640399978E-1,0.00000000,0.00000000,0.100000005E-2,0.119999997,0.299999993E-1,0.899999976,250.000000,0.949999988,0.100000005E-2,0.00000000,200.000000,35.0000000,0.990000010,-25.0000000,0.999999978E-2,0.899999961E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,258.000000,0.399999991E-1,0.249999985E-1,-13.9499817,915.492798,1837497.25,0.123040832E-5,259.200012,259.150604,257.000000,256.990723,257.000000,256.466705,-16.1499939,-16.4212952,0.971370027E-3,0.971281203E-3,0.971370027E-3,0.971283007E-3,0.00000000,0.00000000,0.00000000,0.287170394E-6,0.300000217E-1,0.120000087,250.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.300000217E-1,0.120000087,0.00000000,0.00000000,0.00000000,1.15720499,0.00000000,0.00000000,-0.373321512E-6,-1.05836654,-12.0367985,0.00000000,1.15720499,-0.373321512E-6,0.00000000,0.00000000
one_layer_on_ice,4,60.0000000,1,40.0000000,24,16,0,1.00000000,120.000000,0.640399978E-1,0.00000000,0.00000000,0.100000005E-2,0.119999997,0.299999993E-1,0.899999976,250.000000,0.949999988,0.100000005E-2,0.00000000,200.000000,35.0000000,0.990000010,-25.0000000,0.999999978E-2,0.899999961E-2,1.29999995,0.750000000,0.199999996E-1,2500000.00,1004.50000,0.285714298,4183000.00,0.567051011E-7,258.000000,0.100000001,0.700000003E-1,-12.3500061,915.733948,1849401.88,0.122248821E-5,260.799988,260.789185,257.000000,256.990723,257.000000,256.466705,-16.1499939,-16.4212952,0.971370027E-3,0.971281203E-3,0.971370027E-3,0.971283007E-3,0.00000000,0.00000000,0.00000000,0.287170394E-6,0.300000217E-1,0.120000087,250.000000,0.990000010,0.750000000,0.199999996E-1,1,1,0.300000217E-1,0.120000087,0.00000000,0.00000000,0.00000000,1.15720499,0.00000000,0.00000000,-0.373321512E-6,-1.05836654,-12.0367985,0.00000000,1.15720499,-0.373321512E-6,0.00000000,0.00000000
