case,k,delt,ktau,conflx,nroot,iland,isoil,snwe_before,snwepr,snhei_before,newsnow,snowfrac,beta_before,deltsn,snth,rhosn_before,rhonewsn,meltfactor,prcpms,rainf,patm,tabs,qvatm,qcatm,glw,gsw,emiss,rnet,qkms,tkms,pc,rho,vegfrac,drycan,wetcan,cst,transum,mavail,dqm,qmin,psis,bclh,xlvm,cp,rovcp,g0_p,cvw,stbolt,zsmain,zshalf,thdif,cap,tranf,tso_before,tso_after,soilt_before,soilt_after,soilt1_before,soilt1_after,tsnav_before,tsnav_after,qvg_before,qvg_after,qsg_before,qsg_after,qcg_before,qcg_after,dew_before,dew_after,snwe_after,snhei_after,rhosn_after,beta_after,smelt,snoh,snflx,s,rsm,snweprint,snheiprint,x,ilnb_before,ilnb_after
shallow_fresh_1layer,1,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.00000000,0.00000000,0.650000004E-6,1900000.00,0.199999996E-1,263.000000,263.186249,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,2,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.999999978E-2,0.499999989E-2,0.669499968E-6,1930000.00,0.179999992E-1,264.100006,263.991028,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,3,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.399999991E-1,0.249999985E-1,0.688999990E-6,1960000.00,0.160000008E-1,265.200012,265.182892,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,4,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.100000001,0.700000003E-1,0.708500011E-6,1990000.00,0.139999995E-1,266.299988,266.295898,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,5,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.300000012,0.200000003,0.728000032E-6,2020000.00,0.120000001E-1,267.399994,267.399719,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,6,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.600000024,0.450000018,0.747499996E-6,2050000.00,0.999999978E-2,268.500000,268.499908,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,7,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,1.00000000,0.800000012,0.766999960E-6,2080000.00,0.00000000,269.600006,269.599915,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,8,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,1.60000002,1.29999995,0.786500038E-6,2110000.00,0.00000000,270.700012,270.699982,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
shallow_fresh_1layer,9,60.0000000,1,40.0000000,6,1,4,0.199999996E-1,0.199999996E-1,0.200000003,0.200000009E-2,1.00000000,1.00000000,0.500000000,0.100000001,100.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,265.000000,0.179999997E-2,0.00000000,230.000000,40.0000000,0.980000019,-20.0000000,0.999999978E-2,0.899999961E-2,0.699999988,1.25000000,0.200000003,0.980000019,0.199999996E-1,0.00000000,0.899999961E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,3.00000000,2.29999995,0.806000003E-6,2140000.00,0.00000000,271.799988,271.799988,264.000000,263.996246,264.000000,263.186249,-9.14999390,-9.55874634,0.183249998E-2,0.183257798E-2,0.183249998E-2,0.183257798E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.199999753E-1,0.199999750,100.000000,1.00000000,0.00000000,0.00000000,0.187919438,-99.3902130,0.00000000,0.199999753E-1,0.199999750,-9.77927208,1,1
deep_aged_2layer,1,60.0000000,1,40.0000000,4,1,4,0.150000006,0.150000006,0.428571433,0.00000000,1.00000000,1.00000000,0.142857149,0.285714287E-1,350.000000,100.000000,1.00000000,0.00000000,0.00000000,0.949999988,258.000000,0.899999985E-3,0.00000000,195.000000,25.0000000,0.980000019,-35.0000000,0.800000038E-2,0.700000022E-2,0.699999988,1.25000000,0.500000007E-1,0.980000019,0.199999996E-1,0.00000000,0.679999962E-1,0.600000024,0.400000006,0.199999996E-1,-0.349999994,5.40000010,2835000.00,1004.50000,0.285714298,9.81000042,4183000.00,0.567051011E-7,0.00000000,0.00000000,0.650000004E-6,1900000.00,0.199999996E-1,265.000000,265.150360,257.000000,256.982056,260.000000,259.997437,-16.1499939,-11.9374695,0.971370027E-3,0.970498659E-3,0.971370027E-3,0.970498659E-3,0.00000000,0.00000000,0.00000000,0.00000000,0.149999961,0.428571284,350.000000,1.00000000,0.00000000,0.00000000,-3.81083012,-81.5443726,0.00000000,0.149999961,0.428571284,-24.1662827,1,2
