case,k,isltyp,delt,dqm,qmin,ref,ksat,qsg,qvg,qcg,qcatm,qvatm,prcp,qkms,drip,dew,smelt,vegfrac,snowfrac,soilres,ras,riw,zsmain,zshalf,diffu,hydro,transp,soilice,soilmois_before,soiliqw_before,soilmois_after,soiliqw_after,mavail,runoff,runoff2,infiltrp,infmax
rain_wet,1,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.00000000,0.00000000,0.299999992E-4,0.999999975E-5,0.00000000,0.00000000,0.319999993,0.319999993,0.333712190,0.319999993,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,2,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.999999978E-2,0.499999989E-2,0.284999987E-4,0.920000002E-5,0.00000000,0.00000000,0.314999998,0.314999998,0.328814924,0.314999998,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,3,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.399999991E-1,0.249999985E-1,0.269999982E-4,0.840000030E-5,0.00000000,0.00000000,0.310000002,0.310000002,0.317846000,0.310000002,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,4,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.100000001,0.700000003E-1,0.254999995E-4,0.759999966E-5,0.00000000,0.00000000,0.305000007,0.305000007,0.306997091,0.305000007,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,5,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.300000012,0.200000003,0.239999990E-4,0.679999994E-5,0.00000000,0.00000000,0.299999982,0.299999982,0.300178051,0.299999982,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,6,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.600000024,0.450000018,0.225000003E-4,0.600000021E-5,0.00000000,0.00000000,0.294999987,0.294999987,0.295067340,0.294999987,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,7,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,1.00000000,0.800000012,0.209999998E-4,0.519999958E-5,0.00000000,0.00000000,0.289999992,0.289999992,0.290043801,0.289999992,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,8,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,1.60000002,1.29999995,0.194999993E-4,0.439999985E-5,0.00000000,0.00000000,0.284999996,0.284999996,0.285021394,0.284999996,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
rain_wet,9,1,60.0000000,0.393000007,0.200000009E-2,0.173999995,0.176000001E-3,0.120000001E-1,0.999999978E-2,0.00000000,0.00000000,0.899999961E-2,-0.199999995E-4,0.999999978E-2,0.00000000,0.00000000,0.00000000,0.699999988,0.00000000,1.00000000,0.120000006E-2,0.899999976,3.00000000,2.29999995,0.180000006E-4,0.360000013E-5,0.00000000,0.00000000,0.280000001,0.280000001,0.280000001,0.280000001,1.00000000,0.963380444E-6,0.00000000,-0.190366191E-4,0.190366191E-4
dry_evap,1,4,60.0000000,0.451000005,0.340000018E-1,0.368999988,0.719999980E-5,0.149999997E-1,0.999999978E-2,0.00000000,0.00000000,0.499999989E-2,0.00000000,0.199999996E-1,0.00000000,0.00000000,0.00000000,0.500000000,0.00000000,1.00000000,0.120000006E-2,0.899999976,0.00000000,0.00000000,0.999999994E-8,0.00000000,-0.999999994E-8,0.00000000,0.599999987E-1,0.599999987E-1,0.596513562E-1,0.599999987E-1,0.178063765,0.00000000,0.00000000,0.00000000,0.00000000
