case,k,isltyp,qwrtz,rhocs,dqm,qmin,psis,bclh,ksat,fwsat,lwsat,tav,keepfr,soilmois,soiliqw,soilice,soilmoism,soiliqwm,soilicem,thdif,diffu,hydro,cap
warm_wet,1,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,285.000000,0.00000000,0.300000012,0.300000012,0.00000000,0.297500014,0.297500014,0.00000000,0.107330357E-5,0.409208296E-4,0.276827814E-4,2142273.50
warm_wet,2,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,284.500000,0.00000000,0.295000017,0.295000017,0.00000000,0.292500019,0.292500019,0.00000000,0.107584378E-5,0.369581030E-4,0.233607807E-4,2121364.75
warm_wet,3,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,284.000000,0.00000000,0.290000021,0.290000021,0.00000000,0.287500024,0.287500024,0.00000000,0.107829578E-5,0.333209682E-4,0.196564342E-4,2100455.75
warm_wet,4,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,283.500000,0.00000000,0.285000026,0.285000026,0.00000000,0.282500029,0.282500029,0.00000000,0.108065160E-5,0.299875846E-4,0.164899120E-4,2079546.88
warm_wet,5,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,283.000000,0.00000000,0.280000001,0.280000001,0.00000000,0.277500004,0.277500004,0.00000000,0.108290340E-5,0.269372613E-4,0.137905290E-4,2058637.75
warm_wet,6,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,282.500000,0.00000000,0.275000006,0.275000006,0.00000000,0.272500008,0.272500008,0.00000000,0.108504230E-5,0.241504167E-4,0.114959521E-4,2037728.75
warm_wet,7,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,282.000000,0.00000000,0.270000011,0.270000011,0.00000000,0.267500013,0.267500013,0.00000000,0.108705888E-5,0.216084773E-4,0.955122414E-5,2016819.88
warm_wet,8,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,281.500000,0.00000000,0.265000015,0.265000015,0.00000000,0.262500018,0.262500018,0.00000000,0.108894289E-5,0.192938514E-4,0.790803006E-5,1995910.88
warm_wet,9,1,0.920000017,1470000.00,0.393000007,0.200000009E-2,-0.120999999,4.05000019,0.176000001E-3,0.00000000,0.395000011,281.000000,0.00000000,0.260000020,0.260000020,0.00000000,0.257500023,0.257500023,0.00000000,0.00000000,0.00000000,0.652402650E-5,0.00000000
warm_dry,1,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,300.000000,0.00000000,0.549999997E-1,0.549999997E-1,0.00000000,0.560000017E-1,0.560000017E-1,0.00000000,0.466528462E-6,0.282712215E-9,0.00000000,1030996.12
warm_dry,2,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,299.750000,0.00000000,0.570000000E-1,0.570000000E-1,0.00000000,0.580000021E-1,0.580000021E-1,0.00000000,0.472984397E-6,0.331914135E-9,0.00000000,1039359.75
warm_dry,3,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,299.500000,0.00000000,0.590000004E-1,0.590000004E-1,0.00000000,0.600000024E-1,0.600000024E-1,0.00000000,0.479119308E-6,0.388336113E-9,0.00000000,1047723.31
warm_dry,4,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,299.250000,0.00000000,0.610000007E-1,0.610000007E-1,0.00000000,0.620000027E-1,0.620000027E-1,0.00000000,0.484950135E-6,0.452849980E-9,0.00000000,1056086.88
warm_dry,5,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,299.000000,0.00000000,0.630000010E-1,0.630000010E-1,0.00000000,0.640000030E-1,0.640000030E-1,0.00000000,0.490492368E-6,0.526410748E-9,0.00000000,1064450.50
warm_dry,6,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,298.750000,0.00000000,0.649999976E-1,0.649999976E-1,0.00000000,0.659999996E-1,0.659999996E-1,0.00000000,0.495760730E-6,0.610062445E-9,0.00000000,1072814.12
warm_dry,7,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,298.500000,0.00000000,0.670000017E-1,0.670000017E-1,0.00000000,0.680000037E-1,0.680000037E-1,0.00000000,0.500768920E-6,0.704945657E-9,0.00000000,1081177.62
warm_dry,8,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,298.250000,0.00000000,0.689999983E-1,0.689999983E-1,0.00000000,0.700000003E-1,0.700000003E-1,0.00000000,0.505529727E-6,0.812302225E-9,0.00000000,1089541.25
warm_dry,9,4,0.250000000,1270000.00,0.451000005,0.340000018E-1,-0.786000013,5.30000019,0.719999980E-5,0.00000000,0.485000014,298.000000,0.00000000,0.710000023E-1,0.710000023E-1,0.00000000,0.720000044E-1,0.720000044E-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
frozen,1,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,269.000000,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.468096516E-6,0.708515972E-5,0.571692915E-8,3717281.00
frozen,2,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,269.299988,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.447384195E-6,0.708515972E-5,0.571692915E-8,3889378.00
frozen,3,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,269.600006,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.425075740E-6,0.708515972E-5,0.571692915E-8,4093497.00
frozen,4,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,269.899994,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.401017417E-6,0.708515972E-5,0.571692915E-8,4339079.00
frozen,5,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,270.200012,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.375031618E-6,0.708515972E-5,0.571692915E-8,4639732.00
frozen,6,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,270.500000,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.346938378E-6,0.708515972E-5,0.571692915E-8,5015433.00
frozen,7,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,270.799988,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.316540820E-6,0.708515972E-5,0.571692915E-8,5497067.50
frozen,8,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,271.100006,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.283639849E-6,0.708515972E-5,0.571692915E-8,6134703.00
frozen,9,6,0.400000006,1210000.00,0.400999993,0.500000007E-1,-0.477999985,5.38999987,0.695000017E-5,0.245999992,0.204999998,271.399994,0.00000000,0.319999993,0.159999996,0.177777782,0.310000002,0.155000001,0.172222227,0.00000000,0.00000000,0.571692915E-8,0.00000000
