case,k,delt,conflx,nroot,prcpms,rainf,patm,tabs,qvatm,qcatm,emiss,rnet,qkms,tkms,pc,rho,vegfrac,lai,drycan,wetcan,transum,dew,mavail,soilres,alfa,dqm,qmin,bclh,thdif,cap,tso_before,tso_after,soilt_before,soilt_after,qvg_before,qvg_after,qsg_after,qcg_after,storage
moist_saturated,1,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.800000009E-6,2100000.00,293.000000,293.093994,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,2,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.768000007E-6,2125000.00,292.250000,292.365845,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,3,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.736000004E-6,2150000.00,291.500000,291.514923,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,4,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.704000001E-6,2175000.00,290.750000,290.753082,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,5,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.672000056E-6,2200000.00,290.000000,290.000214,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,6,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.639999996E-6,2225000.00,289.250000,289.250092,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,7,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.607999993E-6,2250000.00,288.500000,288.500061,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,8,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.576000048E-6,2275000.00,287.750000,287.750000,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
moist_saturated,9,60.0000000,0.500000000,8,0.00000000,0.00000000,0.949999988,294.000000,0.120000001E-1,0.00000000,0.949999988,220.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.649999976,2.50000000,0.800000012,0.500000007E-1,0.399999991E-1,0.00000000,1.00000000,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.543999988E-6,2300000.00,287.000000,287.000000,293.000000,293.093994,0.109999999E-1,0.152517660E-1,0.152517660E-1,0.00000000,65.5998764
dry_second_solve,1,60.0000000,0.500000000,6,0.00000000,0.00000000,0.949999988,303.000000,0.300000003E-2,0.00000000,0.949999988,500.000000,0.120000001E-1,0.999999978E-2,0.699999988,1.10000002,0.250000000,2.50000000,0.949999988,0.00000000,0.999999978E-2,0.00000000,0.119999997,1.00000000,1.00000000,0.400000006,0.199999996E-1,4.50000000,0.800000009E-6,2100000.00,301.000000,302.073730,301.000000,302.073730,0.600000005E-2,0.577514060E-2,0.261261724E-1,0.00000000,190.269730
