case,k,tso_before,soilmois_before,sh2o_before,smfr_before,tso_after,soilmois_after,sh2o_after,smfr_after,tsk,hfx,qfx,lh,grdflx,snow,snowh,snowc,mavail,smavail,smmax,sfcrunoff,udrunoff,acrunoff,sfcevp,qsfc,qvg,emiss,alb,znt,rhosnf,precipfr,snowfallac
warm_rain,1,295.000000,0.239999995,0.239999995,0.00000000,295.985596,0.258607835,0.239999995,0.264444411,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,2,293.750000,0.244999990,0.244999990,0.00000000,294.109314,0.254664481,0.244999990,0.269999981,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,3,292.500000,0.250000000,0.250000000,0.00000000,292.537903,0.252075881,0.250000000,0.275555551,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,4,291.250000,0.254999995,0.254999995,0.00000000,291.257446,0.254766256,0.254766256,0.281111091,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,5,290.000000,0.259999990,0.259999990,0.00000000,290.000580,0.259891629,0.259891629,0.286666632,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,6,288.750000,0.264999986,0.264999986,0.00000000,288.750183,0.264920563,0.264920563,0.292222202,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,7,287.500000,0.269999981,0.269999981,0.00000000,287.500122,0.269932091,0.269932091,0.297777742,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,8,286.250000,0.275000006,0.275000006,0.00000000,286.250061,0.274957418,0.274957418,0.303333312,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
warm_rain,9,285.000000,0.280000001,0.280000001,0.00000000,285.000000,0.280000001,0.280000001,0.308888882,295.985596,-22.5867615,0.611258292E-4,165.735626,-391.293488,0.00000000,0.00000000,0.00000000,1.00000000,814.467896,1185.00000,0.581011595E-2,0.00000000,0.581011595E-2,0.733509939E-2,0.178844575E-1,0.182101373E-1,0.949999988,0.119999997,0.800000012,-1000.00000,0.00000000,0.00000000
cold_snow,1,270.000000,0.300000012,0.149755731,0.166938081,269.239990,0.301218629,0.144137084,0.166938066,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,2,270.500000,0.304000020,0.154774085,0.165806592,270.443451,0.303893656,0.154153973,0.165806577,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,3,271.000000,0.307999998,0.161058292,0.163268551,270.996704,0.307968885,0.161011398,0.163268536,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,4,271.500000,0.312000006,0.169365019,0.158483312,271.499481,0.311988473,0.169354916,0.158483312,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
cold_snow,5,272.000000,0.316000015,0.181366429,0.149592862,272.000000,0.315999717,0.181366444,0.149592847,268.611359,6.85489893,-0.291946344E-5,-7.70126963,138.690445,20.2767754,0.819876567E-1,0.380163699,0.874598682,975.400208,1455.00000,0.164680278E-4,0.00000000,0.164680278E-4,-0.350335613E-3,0.272713671E-2,0.273459428E-2,0.942809582,0.467488348,0.750000030E-1,68.3138199,0.300000042,4.39149857
