k,tbq
1,0.856016777E-5
2,0.864839421E-5
3,0.873746376E-5
4,0.882741733E-5
5,0.891826221E-5
6,0.900997384E-5
7,0.910255858E-5
8,0.919605918E-5
9,0.929045018E-5
10,0.938577432E-5
11,0.948200432E-5
12,0.957918292E-5
13,0.967728556E-5
14,0.977631680E-5
15,0.987632484E-5
16,0.997731695E-5
17,0.100792658E-4
18,0.101821779E-4
19,0.102861022E-4
20,0.103910079E-4
21,0.104969422E-4
22,0.106038769E-4
23,0.107118594E-4
24,0.108208596E-4
25,0.109309276E-4
26,0.110420297E-4
27,0.111542186E-4
28,0.112674625E-4
29,0.113818123E-4
30,0.114972345E-4
31,0.116137389E-4
32,0.117314239E-4
33,0.118501657E-4
34,0.119700635E-4
35,0.120911282E-4
36,0.122133242E-4
37,0.123366617E-4
38,0.124611961E-4
39,0.125869401E-4
40,0.127138574E-4
41,0.128420033E-4
42,0.129713426E-4
43,0.131018851E-4
44,0.132336900E-4
45,0.133667700E-4
46,0.135010860E-4
47,0.136366471E-4
48,0.137735169E-4
49,0.139117074E-4
50,0.140511775E-4
51,0.141919918E-4
52,0.143341067E-4
53,0.144775349E-4
54,0.146223992E-4
55,0.147685423E-4
56,0.149160905E-4
57,0.150650558E-4
58,0.152153916E-4
59,0.153671699E-4
60,0.155203415E-4
61,0.156749811E-4
62,0.158310413E-4
63,0.159885949E-4
64,0.161476546E-4
65,0.163081095E-4
66,0.164701578E-4
67,0.166336922E-4
68,0.167987200E-4
69,0.169653213E-4
70,0.171335087E-4
71,0.173032313E-4
72,0.174745019E-4
73,0.176474696E-4
74,0.178219434E-4
75,0.179981434E-4
76,0.181758769E-4
77,0.183553657E-4
78,0.185364843E-4
79,0.187192491E-4
80,0.189037437E-4
81,0.190899100E-4
82,0.192779098E-4
83,0.194675395E-4
84,0.196589572E-4
85,0.198521830E-4
86,0.200471550E-4
87,0.202439642E-4
88,0.204425505E-4
89,0.206430032E-4
90,0.208453439E-4
91,0.210495073E-4
92,0.212555897E-4
93,0.214635256E-4
94,0.216734134E-4
95,0.218851874E-4
96,0.220989441E-4
97,0.223146199E-4
98,0.225323147E-4
99,0.227520450E-4
100,0.229737452E-4
101,0.231975155E-4
102,0.234232866E-4
103,0.236511660E-4
104,0.238810790E-4
105,0.241132275E-4
106,0.243473532E-4
107,0.245836582E-4
108,0.248221641E-4
109,0.250627909E-4
110,0.253056551E-4
111,0.255507748E-4
112,0.257980719E-4
113,0.260476627E-4
114,0.262994690E-4
115,0.265536055E-4
116,0.268099957E-4
117,0.270688597E-4
118,0.273299120E-4
119,0.275933762E-4
120,0.278592724E-4
121,0.281276261E-4
122,0.283983463E-4
123,0.286714549E-4
124,0.289471882E-4
125,0.292253535E-4
126,0.295059617E-4
127,0.297891547E-4
128,0.300749489E-4
129,0.303632532E-4
130,0.306542061E-4
131,0.309477073E-4
132,0.312439042E-4
133,0.315428115E-4
134,0.318443344E-4
135,0.321486223E-4
136,0.324556931E-4
137,0.327654416E-4
138,0.330780276E-4
139,0.333933349E-4
140,0.337115234E-4
141,0.340326114E-4
142,0.343564971E-4
143,0.346833294E-4
144,0.350130103E-4
145,0.353458199E-4
146,0.356813835E-4
147,0.360201375E-4
148,0.363618274E-4
149,0.367064786E-4
150,0.370543967E-4
151,0.374053270E-4
152,0.377592951E-4
153,0.381164609E-4
154,0.384768646E-4
155,0.388403787E-4
156,0.392071779E-4
157,0.395772840E-4
158,0.399507408E-4
159,0.403272534E-4
160,0.407073167E-4
161,0.410906468E-4
162,0.414774295E-4
163,0.418676973E-4
164,0.422613084E-4
165,0.426584593E-4
166,0.430590153E-4
167,0.434633330E-4
168,0.438709430E-4
169,0.442823766E-4
170,0.446973281E-4
171,0.451159940E-4
172,0.455382360E-4
173,0.459642542E-4
174,0.463940778E-4
175,0.468275648E-4
176,0.472649263E-4
177,0.477061840E-4
178,0.481511997E-4
179,0.486001773E-4
180,0.490531602E-4
181,0.495099812E-4
182,0.499708694E-4
183,0.504358504E-4
184,0.509047750E-4
185,0.513780578E-4
186,0.518551460E-4
187,0.523366652E-4
188,0.528222554E-4
189,0.533119382E-4
190,0.538061649E-4
191,0.543045608E-4
192,0.548073622E-4
193,0.553143982E-4
194,0.558259089E-4
195,0.563419344E-4
196,0.568623000E-4
197,0.573872494E-4
198,0.579168227E-4
199,0.584510672E-4
200,0.589897827E-4
201,0.595332385E-4
202,0.600812418E-4
203,0.606342874E-4
204,0.611919604E-4
205,0.617542973E-4
206,0.623217929E-4
207,0.628940252E-4
208,0.634710304E-4
209,0.640533253E-4
210,0.646404733E-4
211,0.652327508E-4
212,0.658299541E-4
213,0.664323743E-4
214,0.670400477E-4
215,0.676530180E-4
216,0.682710815E-4
217,0.688945220E-4
218,0.695233903E-4
219,0.701574681E-4
220,0.707973231E-4
221,0.714421985E-4
222,0.720929529E-4
223,0.727490769E-4
224,0.734108908E-4
225,0.740784380E-4
226,0.747515005E-4
227,0.754303765E-4
228,0.761151314E-4
229,0.768058089E-4
230,0.775021617E-4
231,0.782045317E-4
232,0.789129626E-4
233,0.796272070E-4
234,0.803476141E-4
235,0.810742204E-4
236,0.818070912E-4
237,0.825459574E-4
238,0.832911683E-4
239,0.840427965E-4
240,0.848005584E-4
241,0.855651597E-4
242,0.863356618E-4
243,0.871130978E-4
244,0.878972060E-4
245,0.886876878E-4
246,0.894849436E-4
247,0.902886750E-4
248,0.910996241E-4
249,0.919171580E-4
250,0.927413203E-4
251,0.935728676E-4
252,0.944111525E-4
253,0.952565897E-4
254,0.961092228E-4
255,0.969691246E-4
256,0.978359676E-4
257,0.987101885E-4
258,0.995918381E-4
259,0.100480604E-3
260,0.101377293E-3
261,0.102281199E-3
262,0.103192382E-3
263,0.104111685E-3
264,0.105038373E-3
265,0.105972911E-3
266,0.106915351E-3
267,0.107865351E-3
268,0.108823791E-3
269,0.109789908E-3
270,0.110764187E-3
271,0.111746245E-3
272,0.112736598E-3
273,0.113735281E-3
274,0.114742375E-3
275,0.115757954E-3
276,0.116781623E-3
277,0.117813892E-3
278,0.118854834E-3
279,0.119904529E-3
280,0.120962548E-3
281,0.122029924E-3
282,0.123105769E-3
283,0.124190148E-3
284,0.125284088E-3
285,0.126386702E-3
286,0.127498512E-3
287,0.128619635E-3
288,0.129750115E-3
289,0.130889530E-3
290,0.132038447E-3
291,0.133196954E-3
292,0.134365095E-3
293,0.135542447E-3
294,0.136730130E-3
295,0.137927156E-3
296,0.139134136E-3
297,0.140350588E-3
298,0.141577708E-3
299,0.142814461E-3
300,0.144061458E-3
301,0.145318772E-3
302,0.146585968E-3
303,0.147864208E-3
304,0.149152460E-3
305,0.150451335E-3
306,0.151760963E-3
307,0.153080837E-3
308,0.154411580E-3
309,0.155753907E-3
310,0.157106682E-3
311,0.158470022E-3
312,0.159845178E-3
313,0.161231030E-3
314,0.162628290E-3
315,0.164037032E-3
316,0.165457343E-3
317,0.166888683E-3
318,0.168332394E-3
319,0.169787323E-3
320,0.171254156E-3
321,0.172732995E-3
322,0.174223285E-3
323,0.175726440E-3
324,0.177241192E-3
325,0.178768343E-3
326,0.180307950E-3
327,0.181859417E-3
328,0.183424258E-3
329,0.185001147E-3
330,0.186590871E-3
331,0.188193546E-3
332,0.189809260E-3
333,0.191437372E-3
334,0.193079482E-3
335,0.194734166E-3
336,0.196402281E-3
337,0.198083930E-3
338,0.199778457E-3
339,0.201487492E-3
340,0.203209580E-3
341,0.204945609E-3
342,0.206695695E-3
343,0.208459911E-3
344,0.210238388E-3
345,0.212030427E-3
346,0.213836931E-3
347,0.215657987E-3
348,0.217493725E-3
349,0.219344263E-3
350,0.221209688E-3
351,0.223089286E-3
352,0.224984004E-3
353,0.226893942E-3
354,0.228819204E-3
355,0.230759935E-3
356,0.232716222E-3
357,0.234687337E-3
358,0.236675129E-3
359,0.238677938E-3
360,0.240696783E-3
361,0.242731767E-3
362,0.244782103E-3
363,0.246849755E-3
364,0.248932978E-3
365,0.251032790E-3
366,0.253149366E-3
367,0.255282823E-3
368,0.257433276E-3
369,0.259600842E-3
370,0.261784677E-3
371,0.263986876E-3
372,0.266205578E-3
373,0.268441887E-3
374,0.270695979E-3
375,0.272967940E-3
376,0.275256869E-3
377,0.277564977E-3
378,0.279890315E-3
379,0.282234076E-3
380,0.284596346E-3
381,0.286977302E-3
382,0.289377087E-3
383,0.291795266E-3
384,0.294232508E-3
385,0.296688988E-3
386,0.299164851E-3
387,0.301659631E-3
388,0.304174057E-3
389,0.306708302E-3
390,0.309261843E-3
391,0.311835494E-3
392,0.314429344E-3
393,0.317043567E-3
394,0.319677696E-3
395,0.322333100E-3
396,0.325008703E-3
397,0.327704620E-3
398,0.330422277E-3
399,0.333160569E-3
400,0.335920253E-3
401,0.338701560E-3
402,0.341503881E-3
403,0.344328757E-3
404,0.347175024E-3
405,0.350042799E-3
406,0.352933595E-3
407,0.355846219E-3
408,0.358781515E-3
409,0.361739658E-3
410,0.364720792E-3
411,0.367724366E-3
412,0.370751979E-3
413,0.373802410E-3
414,0.376875745E-3
415,0.379973673E-3
416,0.383094826E-3
417,0.386240135E-3
418,0.389409834E-3
419,0.392604037E-3
420,0.395822892E-3
421,0.399065873E-3
422,0.402333913E-3
423,0.405627128E-3
424,0.408945780E-3
425,0.412289199E-3
426,0.415659160E-3
427,0.419054268E-3
428,0.422475481E-3
429,0.425922219E-3
430,0.429396256E-3
431,0.432896108E-3
432,0.436422881E-3
433,0.439976691E-3
434,0.443557714E-3
435,0.447166211E-3
436,0.450801483E-3
437,0.454465422E-3
438,0.458156544E-3
439,0.461875868E-3
440,0.465622696E-3
441,0.469399092E-3
442,0.473203370E-3
443,0.477037538E-3
444,0.480900053E-3
445,0.484791963E-3
446,0.488712685E-3
447,0.492664054E-3
448,0.496644527E-3
