case,k,isltyp,iland,nroot,tabs,lai,gswin,dqm,qmin,ref,wilt,pc,rstbl,rgltbl,rsmax,soiliqw,zshalf,tranf,transum
wet_forest,1,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.00000000,0.398443174E-2,1.83283842
wet_forest,2,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.499999989E-2,0.159377269E-1,1.83283842
wet_forest,3,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.249999985E-1,0.358598866E-1,1.83283842
wet_forest,4,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.700000003E-1,0.103595220,1.83283842
wet_forest,5,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.200000003,0.199221581,1.83283842
wet_forest,6,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.450000018,0.278910220,1.83283842
wet_forest,7,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,0.800000012,0.398443103,1.83283842
wet_forest,8,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,1.29999995,0.796886325,1.83283842
wet_forest,9,1,1,8,295.000000,6.19999981,500.000000,0.393000007,0.200000009E-2,0.173999995,0.329999998E-1,0.550000012,125.000000,30.0000000,5000.00000,0.250000000,2.29999995,0.00000000,1.83283842
wilt_dark_grass,1,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.00000000,0.199999995E-3,0.119999994E-2
wilt_dark_grass,2,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.499999989E-2,0.199999995E-3,0.119999994E-2
wilt_dark_grass,3,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.249999985E-1,0.199999995E-3,0.119999994E-2
wilt_dark_grass,4,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.700000003E-1,0.199999995E-3,0.119999994E-2
wilt_dark_grass,5,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.200000003,0.199999995E-3,0.119999994E-2
wilt_dark_grass,6,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.450000018,0.199999995E-3,0.119999994E-2
wilt_dark_grass,7,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,0.800000012,0.00000000,0.119999994E-2
wilt_dark_grass,8,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,1.29999995,0.00000000,0.119999994E-2
wilt_dark_grass,9,4,10,6,280.000000,0.750000000,0.00000000,0.451000005,0.340000018E-1,0.368999988,0.143000007,0.400000006,40.0000000,100.000000,5000.00000,0.199999996E-1,2.29999995,0.00000000,0.119999994E-2
mixed_hot_crop,1,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.500000007E-1,0.00000000,0.199999995E-3,0.211759642
mixed_hot_crop,2,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.119999997,0.499999989E-2,0.102778245E-2,0.211759642
mixed_hot_crop,3,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.219999999,0.249999985E-1,0.932011753E-2,0.211759642
mixed_hot_crop,4,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.300000012,0.700000003E-1,0.358322263E-1,0.211759642
mixed_hot_crop,5,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.300000012,0.200000003,0.689081326E-1,0.211759642
mixed_hot_crop,6,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.300000012,0.450000018,0.964713842E-1,0.211759642
mixed_hot_crop,7,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.300000012,0.800000012,0.00000000,0.211759642
mixed_hot_crop,8,6,12,6,310.000000,2.50000000,40.0000000,0.400999993,0.500000007E-1,0.314000010,0.136999995,0.400000006,40.0000000,100.000000,5000.00000,0.300000012,1.29999995,0.00000000,0.211759642
