case,dxi,k,u,v,t,qv,qc,qi,p2d,pi2d,p2di_k,p2di_kp1,dz8w,tke_in,rublten,rvblten,rthblten,rqvblten,rqcblten,rqiblten,exch_h,tke_out,el_out,rublten_tw,rvblten_tw,exch_h_tw
1,1,1, 6.0187501907348633E+000,-1.4900000095367432E+000, 2.9988031005859375E+002, 1.1940149590373039E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9853156250000000E+004, 9.9958020448684692E-001, 1.0000000000000000E+005, 9.9706312500000000E+004, 2.5000000000000000E+001, 6.1078226566314697E-001,-6.2987115234136581E-003, 1.8012311775237322E-003, 3.9320206269621849E-003, 8.5340195710159605E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000,-5.3832321427762508E-003, 1.5782489208504558E-003, 0.0000000000000000E+000
1,1,2, 6.0712499618530273E+000,-1.4620000123977661E+000, 2.9954541015625000E+002, 1.1774152517318726E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9443078125000000E+004, 9.9840563535690308E-001, 9.9706312500000000E+004, 9.9179851562500000E+004, 4.5000000000000000E+001, 6.4318966865539551E-001,-1.0663880966603756E-003, 4.6962103806436062E-004, 1.4689128147438169E-003,-3.1664967536926270E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1711383819580078E+001, 1.4110997319221497E-001, 3.7285896301269531E+001,-8.7733799591660500E-004, 4.2357447091490030E-004, 2.1711383819580078E+001
1,1,3, 6.1537499427795410E+000,-1.4179999828338623E+000, 2.9901983642578125E+002, 1.1517950333654881E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8802078125000000E+004, 9.9656260013580322E-001, 9.9179851562500000E+004, 9.8424312500000000E+004, 6.5000000000000000E+001, 6.9029611349105835E-001,-1.3310114445630461E-004, 1.4505386934615672E-004, 5.9034558944404125E-004,-4.4744876248614673E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.6341224670410156E+001, 8.6389608681201935E-002, 7.6890579223632812E+001,-8.8538065028842539E-005, 1.3419787865132093E-004, 8.6341224670410156E+001
1,1,4, 6.2662501335144043E+000,-1.3580000400543213E+000, 2.9830468750000000E+002, 1.1177542619407177E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7934640625000000E+004, 9.9405491352081299E-001, 9.8424312500000000E+004, 9.7444976562500000E+004, 8.5000000000000000E+001, 7.4700903892517090E-001, 4.9267877329839393E-005, 4.0037102735368535E-005, 2.1531847596634179E-004, 1.1618767103982464E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9445800781250000E+002, 8.4436222910881042E-002, 1.1137382507324219E+002, 5.8168836403638124E-005, 3.7868820072617382E-005, 1.9445800781250000E+002
1,1,5, 6.4087500572204590E+000,-1.2820000648498535E+000, 2.9740130615234375E+002, 1.0760765522718430E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.6846812500000000E+004, 9.9088758230209351E-001, 9.7444976562500000E+004, 9.6248648437500000E+004, 1.0500000000000000E+002, 8.0638402700424194E-001, 6.4039231801871210E-005, 9.7062857093987986E-006, 5.0523551180958748E-005, 9.1559357429105148E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3589532470703125E+002, 7.9212643206119537E-002, 1.3946148681640625E+002, 6.5480337070766836E-005, 9.3566050054505467E-006, 3.3589532470703125E+002
1,1,6, 6.5812501907348633E+000,-1.1900000572204590E+000, 2.9631130981445312E+002, 1.0276981629431248E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.5546109375000000E+004, 9.8706686496734619E-001, 9.6248648437500000E+004, 9.4843578125000000E+004, 1.2500000000000000E+002, 8.5962480306625366E-001, 8.5126033809501678E-005, 2.2147762138047256E-005, 2.1023221052018926E-005,-3.4189888253877143E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7594238281250000E+002, 6.9105327129364014E-002, 1.5880062866210938E+002, 8.5316765762399882E-005, 2.2101403374108486E-005, 4.7594238281250000E+002
1,1,7, 6.7837500572204590E+000,-1.0820000171661377E+000, 2.9503686523437500E+002, 9.7367428243160248E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.4041484375000000E+004, 9.8260051012039185E-001, 9.4843578125000000E+004, 9.3239382812500000E+004, 1.4500000000000000E+002, 8.9608311653137207E-001, 5.7199267757823691E-005, 1.7474758351454511E-005, 4.4080948100599926E-006, 1.4094015732268872E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.6581445312500000E+002, 4.7148775309324265E-002, 1.7272299194335938E+002, 5.7225759519496933E-005, 1.7470783859607764E-005, 5.6581445312500000E+002
1,1,8, 7.0162501335144043E+000,-9.5800000429153442E-001, 2.9358035278320312E+002, 9.1513982042670250E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.2343140625000000E+004, 9.7749739885330200E-001, 9.3239382812500000E+004, 9.1446890625000000E+004, 1.6500000000000000E+002, 9.0325903892517090E-001, 2.5590261429897510E-006, 7.7154902555776061E-007,-1.6954210877884179E-005, 1.0014822038328930E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.7203601074218750E+002, 1.6651729121804237E-002, 1.8267138671875000E+002, 2.5643244043749291E-006, 7.7154902555776061E-007, 5.7203601074218750E+002
1,1,9, 7.2787499427795410E+000,-8.1800001859664917E-001, 2.9194448852539062E+002, 8.5327066481113434E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.0462484375000000E+004, 9.7176760435104370E-001, 9.1446890625000000E+004, 8.9478078125000000E+004, 1.8500000000000000E+002, 8.6680072546005249E-001,-5.2997802413301542E-005,-1.6649564713588916E-005,-2.8483073037932627E-005, 1.4498623102099373E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9800048828125000E+002, 6.3198832795023918E-003, 1.8989189147949219E+002,-5.2997802413301542E-005,-1.6649564713588916E-005, 4.9800048828125000E+002
1,1,10, 7.5712499618530273E+000,-6.6200000047683716E-001, 2.9013241577148438E+002, 7.8924503177404404E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.8411984375000000E+004, 9.6542263031005859E-001, 8.9478078125000000E+004, 8.7345898437500000E+004, 2.0500000000000000E+002, 7.7050441503524780E-001,-9.6686686447355896E-005,-3.0376513677765615E-005,-2.9839409762644209E-005, 1.4492414379674301E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7426092529296875E+002, 7.2951978072524071E-003, 1.9473956298828125E+002,-9.6686686447355896E-005,-3.0376513677765615E-005, 3.7426092529296875E+002
1,1,11, 7.8937501907348633E+000,-4.9000000953674316E-001, 2.8814749145507812E+002, 7.2420667856931686E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.6205015625000000E+004, 9.5847487449645996E-001, 8.7345898437500000E+004, 8.5064132812500000E+004, 2.2500000000000000E+002, 5.9631460905075073E-001,-1.1473761696834117E-004,-3.6035646189702675E-005,-2.4074979592114687E-005, 1.1451128756334583E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3453723144531250E+002, 5.5301699787378311E-002, 1.9524954223632812E+002,-1.1473761696834117E-004,-3.6035646189702675E-005, 2.3453723144531250E+002
1,1,12, 8.2462501525878906E+000,-3.0200004577636719E-001, 2.8599337768554688E+002, 6.5923291258513927E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.3855703125000000E+004, 9.5093792676925659E-001, 8.5064132812500000E+004, 8.2647281250000000E+004, 2.4500000000000000E+002, 3.2432383298873901E-001,-9.0365938376635313E-005,-2.8334061425994150E-005,-1.3224283975432627E-005, 6.5891072154045105E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0594715118408203E+002, 1.0312421619892120E-001, 2.0332171630859375E+002,-9.0365938376635313E-005,-2.8334061425994150E-005, 1.0594715118408203E+002
1,1,13, 8.6287498474121094E+000,-9.8000049591064453E-002, 2.8367413330078125E+002, 5.9530679136514664E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1378828125000000E+004, 9.4282662868499756E-001, 8.2647281250000000E+004, 8.0110382812500000E+004, 2.6500000000000000E+002, 4.9999998882412910E-003,-1.7282698536291718E-005,-5.3711237342213280E-006,-1.3563368383984198E-006, 1.0280766460368795E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6796649932861328E+001, 7.0823612622916698E-003, 2.4253040313720703E+001,-1.7282698536291718E-005,-5.3711237342213280E-006, 1.6796649932861328E+001
1,1,14, 9.0412502288818359E+000, 1.2199997901916504E-001, 2.8609948730468750E+002, 5.3329612128436565E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.8789625000000000E+004, 9.3415671586990356E-001, 8.0110382812500000E+004, 7.7468859375000000E+004, 2.8500000000000000E+002, 4.9999998882412910E-003,-1.1126201115985168E-006,-5.6491961686333525E-007, 0.0000000000000000E+000, 9.9858477042857885E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997764825821E-003, 5.0015957094728947E-003, 2.1672141551971436E+000,-1.1126201115985168E-006,-5.6491961686333525E-007, 9.9999997764825821E-003
1,1,15, 9.4837503433227539E+000, 3.5799992084503174E-001, 2.8491537475585938E+002, 4.7393813729286194E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.6103617187500000E+004, 9.2494475841522217E-001, 7.7468859375000000E+004, 7.4738375000000000E+004, 3.0500000000000000E+002, 4.9999998882412910E-003,-2.1192763099975309E-008,-9.9341077586245774E-009, 0.0000000000000000E+000, 1.5522043719795597E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0014712810516357E-002, 5.0000003539025784E-003, 3.5317680835723877E+000,-2.1192763099975309E-008,-9.9341077586245774E-009, 1.0014712810516357E-002
1,1,16, 9.9562501907348633E+000, 6.0999989509582520E-001, 2.8364602661132812E+002, 4.1783093474805355E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.3336531250000000E+004, 9.1520863771438599E-001, 7.4738375000000000E+004, 7.1934679687500000E+004, 3.2500000000000000E+002, 4.9999998882412910E-003,-1.0596381549987655E-008,-9.2718339672615002E-009, 0.0000000000000000E+000, 1.0348028857409819E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0016265325248241E-002, 4.9999998882412910E-003, 3.5320565700531006E+000,-1.0596381549987655E-008,-9.2718339672615002E-009, 1.0016265325248241E-002
1,1,17, 1.0458749771118164E+001, 8.7800002098083496E-001, 2.8229080200195312E+002, 3.6543076857924461E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.0504054687500000E+004, 9.0496671199798584E-001, 7.1934679687500000E+004, 6.9073429687500000E+004, 3.4500000000000000E+002, 4.9999998882412910E-003,-1.0596381549987655E-008,-9.2718339672615002E-009, 0.0000000000000000E+000, 7.7610218598977987E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0018444620072842E-002, 4.9999998882412910E-003, 3.5331940650939941E+000,-1.0596381549987655E-008,-9.2718339672615002E-009, 1.0018444620072842E-002
1,1,18, 1.0991250038146973E+001, 1.1619999408721924E+000, 2.8084896850585938E+002, 3.1705552246421576E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.7621773437500000E+004, 8.9423835277557373E-001, 6.9073429687500000E+004, 6.6170117187500000E+004, 3.6500000000000000E+002, 4.9999998882412910E-003,-1.0596381549987655E-008,-9.2718339672615002E-009, 0.0000000000000000E+000, 7.7610218598977987E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0020794346928596E-002, 4.9999998882412910E-003, 3.5353865623474121E+000,-1.0596381549987655E-008,-9.2718339672615002E-009, 1.0020794346928596E-002
1,1,19, 1.1553750038146973E+001, 1.4619998931884766E+000, 2.7931997680664062E+002, 2.7289222925901413E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4704992187500000E+004, 8.8304376602172852E-001, 6.6170117187500000E+004, 6.3239867187500000E+004, 3.8500000000000000E+002, 4.9999998882412910E-003,-1.0596381549987655E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0023324750363827E-002, 4.9999998882412910E-003, 3.5387127399444580E+000,-1.0596381549987655E-008,-7.9472863845353459E-009, 1.0023324750363827E-002
1,1,20, 1.2146249771118164E+001, 1.7779998779296875E+000, 2.7770324707031250E+002, 2.3300894536077976E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.1768597656250000E+004, 8.7140357494354248E-001, 6.3239867187500000E+004, 6.0297328125000000E+004, 4.0500000000000000E+002, 4.9999998882412910E-003,-2.1192763099975309E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 5.1740144287049095E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0026050731539726E-002, 4.9999998882412910E-003, 3.5431337356567383E+000,-2.1192763099975309E-008,-7.9472863845353459E-009, 1.0026050731539726E-002
1,1,21, 1.2768750190734863E+001, 2.1099998950958252E+000, 2.7599829101562500E+002, 1.9736937247216702E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.8826960937500000E+004, 8.5933929681777954E-001, 6.0297328125000000E+004, 5.7356597656250000E+004, 4.2500000000000000E+002, 4.9999998882412910E-003,-1.0596381549987655E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0028989985585213E-002, 4.9999998882412910E-003, 3.5488026142120361E+000,-1.0596381549987655E-008,-7.9472863845353459E-009, 1.0028989985585213E-002
1,1,22, 1.3421249389648438E+001, 2.4579999446868896E+000, 2.7420474243164062E+002, 1.6584885306656361E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.5893828125000000E+004, 8.4687292575836182E-001, 5.7356597656250000E+004, 5.4431058593750000E+004, 4.4500000000000000E+002, 4.9999998882412910E-003,-2.1192763099975309E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 5.1740144287049095E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0032153688371181E-002, 4.9999998882412910E-003, 3.5556142330169678E+000,-2.1192763099975309E-008,-7.9472863845353459E-009, 1.0032153688371181E-002
1,1,23, 1.4103750228881836E+001, 2.8220000267028809E+000, 2.7232223510742188E+002, 1.3825183268636465E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.2982199218750000E+004, 8.3402675390243530E-001, 5.4431058593750000E+004, 5.1533339843750000E+004, 4.6500000000000000E+002, 4.9999998882412910E-003,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 2.5870072143524547E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0035566985607147E-002, 4.9999998882412910E-003, 3.5636301040649414E+000,-2.1192763099975309E-008,-1.0596381549987655E-008, 1.0035566985607147E-002
1,1,24, 1.4816249847412109E+001, 3.2019996643066406E+000, 2.7035061645507812E+002, 1.1432860046625137E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0104281250000000E+004, 8.2082378864288330E-001, 5.1533339843750000E+004, 4.8675222656250000E+004, 4.8500000000000000E+002, 4.9999998882412910E-003,-1.0596381549987655E-008,-7.9472863845353459E-009, 0.0000000000000000E+000, 1.2935036071762274E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0039237327873707E-002, 4.9999998882412910E-003, 3.5727436542510986E+000,-1.0596381549987655E-008,-7.9472863845353459E-009, 1.0039237327873707E-002
