case,dxi,nz,dt,tke_diag,dx,dy,psfc,znt,ust,hfx,qfx,wspd_in,br,psim,psih,xland,corf,u10_in,v10_in,hpbl,kpbl,wstar,delta,u10_out,v10_out,wspd_out,hpbl_tw,kpbl_tw,wstar_tw,delta_tw,u10_tw,v10_tw
1,1,40, 4.5000000000000000E+001,1, 1.0000000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000
1,2,40, 4.5000000000000000E+001,1, 2.5000000000000000E+002, 2.5000000000000000E+002, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000
1,3,40, 4.5000000000000000E+001,1, 5.0000000000000000E+002, 5.0000000000000000E+002, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000
1,4,40, 4.5000000000000000E+001,1, 1.0000000000000000E+003, 1.0000000000000000E+003, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000
1,5,40, 4.5000000000000000E+001,1, 3.0000000000000000E+003, 3.0000000000000000E+003, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000
1,6,40, 4.5000000000000000E+001,1, 9.0000000000000000E+003, 9.0000000000000000E+003, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 6.0187501907348633E+000,-1.4900000095367432E+000
2,1,40, 4.5000000000000000E+001,1, 1.0000000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+005, 1.0000000149011612E-001, 2.5000000000000000E-001, 4.0000000000000000E+001, 1.9999999494757503E-005, 6.2004399299621582E+000,-5.0000000745058060E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000
2,2,40, 4.5000000000000000E+001,1, 2.5000000000000000E+002, 2.5000000000000000E+002, 1.0000000000000000E+005, 1.0000000149011612E-001, 2.5000000000000000E-001, 4.0000000000000000E+001, 1.9999999494757503E-005, 6.2004399299621582E+000,-5.0000000745058060E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000
2,3,40, 4.5000000000000000E+001,1, 5.0000000000000000E+002, 5.0000000000000000E+002, 1.0000000000000000E+005, 1.0000000149011612E-001, 2.5000000000000000E-001, 4.0000000000000000E+001, 1.9999999494757503E-005, 6.2004399299621582E+000,-5.0000000745058060E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000
2,4,40, 4.5000000000000000E+001,1, 1.0000000000000000E+003, 1.0000000000000000E+003, 1.0000000000000000E+005, 1.0000000149011612E-001, 2.5000000000000000E-001, 4.0000000000000000E+001, 1.9999999494757503E-005, 6.2004399299621582E+000,-5.0000000745058060E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 9.9999997473787516E-005, 6.0187501907348633E+000,-1.4900000095367432E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 6.2004399299621582E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 6.0187501907348633E+000,-1.4900000095367432E+000
