phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.4215245056152344E+002, 2.4000000000000000E+002, 1.7480304813943803E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1096368000000000E+007, 2.1328911360000000E+009, 3.5548184000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.4651545715332031E+002, 2.4000000000000000E+002, 1.8608022946864367E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.5683048000000000E+007, 2.2704916480000000E+009, 3.7841524000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.5095704650878906E+002, 2.4000000000000000E+002, 2.5751075008884072E-004, 4.9913272960111499E-004, 2.9947963776066899E-004, 9.4965848518313578E-009, 5.9895925223827362E-003, 1.9965307728853077E-004, 2.7171745300292969E+001, 4.7198188476562500E+003, 8.0573448000000000E+007, 2.4172034560000000E+009, 4.0286724000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.5547866821289062E+002, 2.4000000000000000E+002, 2.7412440977059305E-004, 4.0526399970985949E-004, 2.4315839982591569E-004, 6.2821299273707609E-009, 4.8631681129336357E-003, 1.6210558533202857E-004, 1.7974508285522461E+001, 3.8321923828125000E+003, 8.5772280000000000E+007, 2.5731683840000000E+009, 4.2886140000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.6008175659179688E+002, 2.3999998474121094E+002, 2.9181028367020190E-004, 2.3252160463016480E-004, 1.3951296568848193E-004, 2.7490705267751991E-009, 2.7902591973543167E-003, 9.3008631665725261E-005, 7.8656744956970215E+000, 2.1987336425781250E+003, 9.1306704000000000E+007, 2.7392010240000000E+009, 4.5653352000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.6476779174804688E+002, 2.3999998474121094E+002, 3.1063766800798476E-004, 9.4274000730365515E-005, 5.6564404076198116E-005, 7.9580053657934968E-010, 1.1312880087643862E-003, 3.7709600292146206E-005, 2.2769544124603271E+000, 8.9145880126953125E+002, 9.7198424000000000E+007, 2.9159526400000000E+009, 4.8599212000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9041161537170410E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.6953826904296875E+002, 2.4000000000000000E+002, 3.3068028278648853E-004, 2.7009948098566383E-005, 1.6205969586735591E-005, 1.5239201567318617E-010, 3.2411937718279660E-004, 1.0803978511830792E-005, 4.3602591753005981E-001, 2.5540715026855469E+002, 1.0347053600000000E+008, 3.1041159680000000E+009, 5.1735268000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7465250492095947E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.7439468383789062E+002, 2.4000000000000000E+002, 3.5201659193262458E-004, 5.4683841881342232E-006, 3.2810305583552690E-006, 1.9304542339670938E-011, 6.5620610257610679E-005, 2.1873534024052788E-006, 5.5234394967556000E-002, 5.1709259033203125E+001, 1.1014758400000000E+008, 3.3044275200000000E+009, 5.5073792000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5917234420776367E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.7933859252929688E+002, 2.4000000000000000E+002, 3.7473021075129509E-004, 7.8234342026917147E-007, 4.6940604647716100E-007, 1.6176940429574183E-012, 9.3881208158563823E-006, 3.1293734537030105E-007, 4.6285660937428474E-003, 7.3978700637817383E+000, 1.1725575200000000E+008, 3.5176727040000000E+009, 5.8627876000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4396618604660034E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.8437158203125000E+002, 2.4000000000000000E+002, 3.0685396632179618E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2480448800000000E+008, 3.7441346560000000E+009, 6.2402244000000000E+007, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
