scenario,k,t1d_entry_hex,t1d_entry_k,t1d_exit_hex,t1d_exit_k,pii_hex,pii,round_trip_exit_hex,round_trip_matches
aero-init-profile,1,438E8000,  2.8500000000000000E+02,438E824D,  2.8501797485351562E+02,3F7DB976,  9.9111115932464600E-01,438E824D,1
aero-init-profile,2,438E8000,  2.8500000000000000E+02,438E825C,  2.8501843261718750E+02,3F793BDF,  9.7356981039047241E-01,438E825C,1
aero-init-profile,3,438E8000,  2.8500000000000000E+02,438E826B,  2.8501889038085938E+02,3F74D2A1,  9.5633894205093384E-01,438E826B,1
aero-init-profile,4,438E8000,  2.8500000000000000E+02,438E8279,  2.8501931762695312E+02,3F707D60,  9.3941307067871094E-01,438E8279,1
aero-init-profile,5,438E8000,  2.8500000000000000E+02,438E8287,  2.8501974487304688E+02,3F6C3BC0,  9.2278671264648438E-01,438E8287,1
aero-init-profile,6,438E8000,  2.8500000000000000E+02,438E8295,  2.8502017211914062E+02,3F680D69,  9.0645462274551392E-01,438E8295,1
aero-init-profile,7,438E8000,  2.8500000000000000E+02,438E82A3,  2.8502059936523438E+02,3F63F204,  8.9041161537170410E-01,438E82A3,1
aero-init-profile,8,438E8000,  2.8500000000000000E+02,438E82B1,  2.8502102661132812E+02,3F5FE93A,  8.7465250492095947E-01,438E82B1,1
aero-init-profile,9,438E8000,  2.8500000000000000E+02,438E82BE,  2.8502142333984375E+02,3F5BF2B8,  8.5917234420776367E-01,438E82BE,1
aero-init-profile,10,438E8000,  2.8500000000000000E+02,438E82CB,  2.8502182006835938E+02,3F580E2B,  8.4396618604660034E-01,438E82CB,1
aero-init-profile,11,438E8000,  2.8500000000000000E+02,438E82D7,  2.8502218627929688E+02,3F543B40,  8.2902908325195312E-01,438E82D7,1
aero-init-profile,12,438E8000,  2.8500000000000000E+02,438E82E3,  2.8502255249023438E+02,3F5079A9,  8.1435638666152954E-01,438E82E3,1
