phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 3.3938637375831604E-001, 5.0000000000000000E+002, 2.9297924804687500E+002, 2.9037500000000000E+002, 1.2667724862694740E-002, 5.5958877055672929E-005, 1.6067543765529990E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 8.7746416000000000E+007, 2.6323923200000000E+008, 8.7746412500000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 8.3707773685455322E-001, 5.0000000000000000E+002, 2.9491979980468750E+002, 2.8712500000000000E+002, 1.0371454991400242E-002, 2.6186439208686352E-004, 3.2099575037136674E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 9.2025960000000000E+007, 2.7607788800000000E+008, 9.2025962500000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.4589502811431885E+000, 5.0000000000000000E+002, 2.9683514404296875E+002, 2.8387500000000000E+002, 8.4914295002818108E-003, 6.6099927062168717E-004, 3.2099575037136674E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 9.6564376000000000E+007, 2.8969312000000000E+008, 9.6564375000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.7968776226043701E+000, 5.0000000000000000E+002, 2.9872375488281250E+002, 2.8062500000000000E+002, 6.9521944969892502E-003, 8.9999998454004526E-004, 1.6067543765529990E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.0136731200000000E+008, 3.0410195200000000E+008, 1.0136731250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.5638670921325684E+000, 5.0000000000000000E+002, 3.0058407592773438E+002, 2.7737500000000000E+002, 5.6919753551483154E-003, 6.6099927062168717E-004, 4.0257789805764332E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.0644156000000000E+008, 3.1932470400000000E+008, 1.0644156250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 9.6179926395416260E-001, 5.0000000000000000E+002, 3.0241448974609375E+002, 2.7412500000000000E+002, 4.6601952053606510E-003, 2.6186439208686352E-004, 5.0489402383391280E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.1179478400000000E+008, 3.3538435200000000E+008, 1.1179477500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9041161537170410E-001, 4.1799622774124146E-001, 5.0000000000000000E+002, 3.0421322631835938E+002, 2.7087500000000000E+002, 3.8154453504830599E-003, 5.5958877055672929E-005, 3.1695776669948827E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.1743551200000000E+008, 3.5230652800000000E+008, 1.1743551250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7465250492095947E-001, 1.2837001681327820E-001, 5.0000000000000000E+002, 3.0597866821289062E+002, 2.6762500000000000E+002, 3.1238223891705275E-003, 6.4502751229156274E-006, 9.9598365110864506E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.2337306400000000E+008, 3.7011920000000000E+008, 1.2337306250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5917234420776367E-001, 2.7858518064022064E-002, 5.0000000000000000E+002, 3.0770892333984375E+002, 2.6437500000000000E+002, 2.5575691834092140E-003, 4.0105609855345392E-007, 1.5665807540088394E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.2961756800000000E+008, 3.8885270400000000E+008, 1.2961757500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4396618604660034E-001, 4.2722462676465511E-003, 5.0000000000000000E+002, 3.0940219116210938E+002, 2.6112500000000000E+002, 2.0939607638865709E-003, 1.3450809355219917E-008, 1.2334027028881867E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 1.3617984000000000E+008, 4.0853952000000000E+008, 1.3617983750000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2902908325195312E-001, 4.6297462540678680E-004, 5.0000000000000000E+002, 3.1105664062500000E+002, 2.5787500000000000E+002, 1.7143902368843555E-003, 2.4333748904759034E-010, 4.8607803064982125E-015, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4307140800000000E+008, 4.2921424000000000E+008, 1.4307141250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,12, 5.7500000000000000E+003, 4.8736105468750000E+004, 8.1435638666152954E-001, 3.5453696909826249E-005, 5.0000000000000000E+002, 3.1267022705078125E+002, 2.5462500000000000E+002, 1.4036239590495825E-003, 2.3745723269630314E-012, 9.5886462278514198E-018, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5030435200000000E+008, 4.5091308800000000E+008, 1.5030436250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,13, 6.2500000000000000E+003, 4.5783335937500000E+004, 7.9994338750839233E-001, 1.9185342807759298E-006, 5.0000000000000000E+002, 3.1424099731445312E+002, 2.5137501525878906E+002, 1.1491900077089667E-003, 1.2499149359566832E-014, 9.4679957251936180E-021, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5789148800000000E+008, 4.7367446400000000E+008, 1.5789148750000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,14, 6.7500000000000000E+003, 4.3009464843750000E+004, 7.8578549623489380E-001, 7.3363565888939775E-008, 5.0000000000000000E+002, 3.1576684570312500E+002, 2.4812500000000000E+002, 9.4087718753144145E-004, 3.5488936793223922E-017, 4.6796479242245196E-024, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6584614400000000E+008, 4.9753843200000000E+008, 1.6584613750000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,15, 7.2500000000000000E+003, 4.0403652343750000E+004, 7.7187812328338623E-001, 1.9824206720642223E-009, 5.0000000000000000E+002, 3.1724566650390625E+002, 2.4487498474121094E+002, 7.7032501576468349E-004, 5.4352512936605054E-020, 1.1577490008335737E-027, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7418222400000000E+008, 5.2254665600000000E+008, 1.7418222500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,16, 7.7500000000000000E+003, 3.7955718750000000E+004, 7.5821697711944580E-001, 3.7853980366930884E-011, 5.0000000000000000E+002, 3.1867526245117188E+002, 2.4162500000000000E+002, 6.3068891176953912E-004, 4.4902060543932239E-023, 1.4337277726569732E-031, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8291409600000000E+008, 5.4874227200000000E+008, 1.8291410000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,17, 8.2500000000000000E+003, 3.5656097656250000E+004, 7.4479752779006958E-001, 5.1077951547170986E-013, 5.0000000000000000E+002, 3.2005343627929688E+002, 2.3837501525878906E+002, 5.1636435091495514E-004, 2.0009074756429998E-026, 8.8873729660414622E-036, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9205681600000000E+008, 5.7617049600000000E+008, 1.9205682500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
