temp_k,w_m_s,nccn_per_m3,activated_per_m3
 2.3800000000000000E+002, 4.9999998882412910E-003, 5.0000000000000000E+006, 2.4625172500000000E+006
 2.3800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+007, 4.9250345000000000E+006
 2.3800000000000000E+002, 4.9999998882412910E-003, 1.1100000000000000E+007, 5.4553020000000000E+006
 2.3800000000000000E+002, 4.9999998882412910E-003, 3.1600000000000000E+007, 1.1750037000000000E+007
 2.3800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+008, 2.3512680000000000E+007
 2.3800000000000000E+002, 4.9999998882412910E-003, 3.1600000000000000E+008, 3.3063686000000000E+007
 2.3800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+009, 4.1467700000000000E+007
 2.3800000000000000E+002, 4.9999998882412910E-003, 3.1600000000000000E+009, 1.0159684800000000E+008
 2.3800000000000000E+002, 4.9999998882412910E-003, 1.0000000000000000E+010, 2.7058822400000000E+008
 2.3800000000000000E+002, 4.9999998882412910E-003, 2.0000000000000000E+010, 5.4117644800000000E+008
 2.3800000000000000E+002, 9.9999997764825821E-003, 5.0000000000000000E+006, 2.4625172500000000E+006
 2.3800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+007, 4.9250345000000000E+006
 2.3800000000000000E+002, 9.9999997764825821E-003, 1.1100000000000000E+007, 5.4553020000000000E+006
 2.3800000000000000E+002, 9.9999997764825821E-003, 3.1600000000000000E+007, 1.1750037000000000E+007
 2.3800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+008, 2.3512680000000000E+007
 2.3800000000000000E+002, 9.9999997764825821E-003, 3.1600000000000000E+008, 3.3063686000000000E+007
 2.3800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+009, 4.1467700000000000E+007
 2.3800000000000000E+002, 9.9999997764825821E-003, 3.1600000000000000E+009, 1.0159684800000000E+008
 2.3800000000000000E+002, 9.9999997764825821E-003, 1.0000000000000000E+010, 2.7058822400000000E+008
 2.3800000000000000E+002, 9.9999997764825821E-003, 2.0000000000000000E+010, 5.4117644800000000E+008
