species,d_collector_m,d_aerosol_m,visco,rho_kg_m3,temp_k,eff
r, 4.9999998736893758E-005, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 2.2895889356732368E-002
r, 4.9999998736893758E-005, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 5.7337307371199131E-003
r, 9.9999997473787516E-005, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 9.4774905592203140E-003
r, 9.9999997473787516E-005, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 2.4948732461780310E-003
r, 3.0000001424923539E-004, 3.9999999756901161E-008, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 2.9145337175577879E-003
r, 3.0000001424923539E-004, 8.0000000934887794E-007, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 7.6060683932155371E-004
r, 5.0000002374872565E-004, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 1.7333504511043429E-003
r, 5.0000002374872565E-004, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 4.5575149124488235E-004
r, 1.0000000474974513E-003, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 9.0099050430580974E-004
r, 1.0000000474974513E-003, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 2.2500706836581230E-004
r, 2.0000000949949026E-003, 3.9999999756901161E-008, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 4.9694941844791174E-004
r, 2.0000000949949026E-003, 8.0000000934887794E-007, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 1.1409209400881082E-004
r, 4.0000001899898052E-003, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 2.9947311850264668E-004
r, 4.0000001899898052E-003, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 6.1225699028000236E-005
r, 8.0000003799796104E-003, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 2.0810411660932004E-004
r, 8.0000003799796104E-003, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 3.5641573049360886E-005
s, 4.9999998736893758E-005, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 2.0644541829824448E-002
s, 4.9999998736893758E-005, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 5.6053232401609421E-003
s, 9.9999997473787516E-005, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 1.1742967180907726E-002
s, 9.9999997473787516E-005, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 2.6365197263658047E-003
s, 3.0000001424923539E-004, 3.9999999756901161E-008, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 4.9088532105088234E-003
s, 3.0000001424923539E-004, 8.0000000934887794E-007, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 9.0850004926323891E-004
s, 5.0000002374872565E-004, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 3.2519770320504904E-003
s, 5.0000002374872565E-004, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 5.7121925055980682E-004
s, 1.0000000474974513E-003, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 1.8966190982609987E-003
s, 1.0000000474974513E-003, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 3.0927229090593755E-004
s, 2.0000000949949026E-003, 3.9999999756901161E-008, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 1.1104897130280733E-003
s, 2.0000000949949026E-003, 8.0000000934887794E-007, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 1.7074262723326683E-004
s, 4.0000001899898052E-003, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 6.4178137108683586E-004
s, 4.0000001899898052E-003, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 9.4622220785822719E-005
s, 8.0000003799796104E-003, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 3.7593574961647391E-004
s, 8.0000003799796104E-003, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 5.3226227464620024E-005
g, 4.9999998736893758E-005, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 3.4899502992630005E-002
g, 4.9999998736893758E-005, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 6.5951971337199211E-003
g, 9.9999997473787516E-005, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 1.7221225425601006E-002
g, 9.9999997473787516E-005, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 3.0773628968745470E-003
g, 3.0000001424923539E-004, 3.9999999756901161E-008, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 5.8840196579694748E-003
g, 3.0000001424923539E-004, 8.0000000934887794E-007, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 9.9848571699112654E-004
g, 5.0000002374872565E-004, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 3.5653200466185808E-003
g, 5.0000002374872565E-004, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 6.0077919624745846E-004
g, 1.0000000474974513E-003, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 1.8459969433024526E-003
g, 1.0000000474974513E-003, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 3.0424701981246471E-004
g, 2.0000000949949026E-003, 3.9999999756901161E-008, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 9.6048897830769420E-004
g, 2.0000000949949026E-003, 8.0000000934887794E-007, 1.7760650734999217E-005, 1.0000000000000000E+000, 2.8500000000000000E+002, 1.5531707322224975E-004
g, 4.0000001899898052E-003, 3.9999999756901161E-008, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 4.9347151070833206E-004
g, 4.0000001899898052E-003, 8.0000000934887794E-007, 1.5423780496348627E-005, 1.0000000000000000E+000, 2.4000000000000000E+002, 7.9179342719726264E-005
g, 8.0000003799796104E-003, 3.9999999756901161E-008, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 2.5698947138153017E-004
g, 8.0000003799796104E-003, 8.0000000934887794E-007, 1.6772679373389110E-005, 1.0000000000000000E+000, 2.6500000000000000E+002, 4.0540264308219776E-005
