k,temp_k,p_pa,qv,qc,nc_per_kg,nc_target_per_m3,qi,ni_per_kg,qs,effc_m,effi_m,effs_m
1, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 1.9999999920083944E-012, 1.8413017988204956E+000, 2.0000000000000000E+000, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 6.7597502493299544E-006, 6.2266502936836332E-005, 9.8630075808614492E-004
2, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 1.9999999920083944E-012, 4.6032543182373047E+001, 5.0000000000000000E+001, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 2.5100000584643567E-006, 6.2266502936836332E-005, 9.8630075808614492E-004
3, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 1.9999999920083944E-012, 9.1144439697265625E+001, 9.9000000000000000E+001, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 2.5100000584643567E-006, 6.2266502936836332E-005, 9.8630075808614492E-004
4, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 9.9999999747524271E-007, 9.2065086364746094E+001, 1.0000000000000000E+002, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 4.9999998736893758E-005, 6.2266502936836332E-005, 9.8630075808614492E-004
5, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 9.9999999747524271E-007, 9.2985740661621094E+001, 1.0100000000000000E+002, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 4.9999998736893758E-005, 6.2266502936836332E-005, 9.8630075808614492E-004
6, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 9.9999997473787516E-006, 9.2065087890625000E+002, 1.0000000000000000E+003, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 4.9999998736893758E-005, 6.2266502936836332E-005, 9.8630075808614492E-004
7, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 9.9999997473787516E-005, 9.2065085937500000E+004, 1.0000000000000000E+005, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 4.9999998736893758E-005, 6.2266502936836332E-005, 9.8630075808614492E-004
8, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 3.0000001424923539E-004, 9.2065090000000000E+006, 1.0000000000000000E+007, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 2.1004116206313483E-005, 6.2266502936836332E-005, 9.8630075808614492E-004
9, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 3.0000001424923539E-004, 4.6032544000000000E+007, 5.0000000000000000E+007, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 1.2283282558200881E-005, 6.2266502936836332E-005, 9.8630075808614492E-004
10, 2.8500000000000000E+002, 9.0000000000000000E+004, 8.0000003799796104E-003, 3.0000001424923539E-004, 9.2065088000000000E+007, 1.0000000000000000E+008, 9.9999997473787516E-006, 5.0000000000000000E+004, 1.9999999494757503E-004, 9.8707332654157653E-006, 6.2266502936836332E-005, 9.8630075808614492E-004
