tempc_c,rho_kg_m3,nifa_per_m3,xni_per_m3
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+003, 7.4939121077477466E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+004, 7.4939121077477466E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+005, 7.5522839324548841E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+006, 7.6562882895814255E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+007, 7.7617260103579611E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+008, 7.8686152846785262E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 5.0000000000000000E+009, 7.9769761214265600E-006
-1.0000000149011612E-001, 3.4999999403953552E-001, 9.9989995520000000E+009, 8.0098834587261081E-006
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+003, 1.3917264368501492E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+004, 1.3917264368501492E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+005, 1.3974190551380161E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+006, 1.4166632354317699E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+007, 1.4361725334310904E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+008, 1.4559506780642550E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 5.0000000000000000E+009, 1.4760010344616603E-005
-1.0000000149011612E-001, 6.4999997615814209E-001, 9.9989995520000000E+009, 1.4820899195910897E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+003, 2.1411176930996589E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+004, 2.1411176930996589E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+005, 2.1443813238875009E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+006, 2.1739122530561872E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+007, 2.2038499082555063E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+008, 2.2341999283526093E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 5.0000000000000000E+009, 2.2649675884167664E-005
-1.0000000149011612E-001, 1.0000000000000000E+000, 9.9989995520000000E+009, 2.2743111912859604E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+003, 2.6763971618493088E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+004, 2.6763971618493088E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+005, 2.6769261239678599E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+006, 2.7137910365127027E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+007, 2.7511634471011348E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+008, 2.7890506316907704E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 5.0000000000000000E+009, 2.8274595024413429E-005
-1.0000000149011612E-001, 1.2500000000000000E+000, 9.9989995520000000E+009, 2.8391230443958193E-005
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+003, 1.5561042726039886E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+004, 1.5561042726039886E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+005, 1.6744169592857361E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+006, 1.9053012132644653E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+007, 2.1680219471454620E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+008, 2.4669684469699860E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+009, 2.8071370720863342E-001
-2.0000000000000000E+000, 3.4999999403953552E-001, 9.9989995520000000E+009, 2.9184278845787048E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+003, 2.8899079561233521E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+004, 2.8899079561233521E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+005, 3.0034935474395752E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+006, 3.4176430106163025E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+007, 3.8888990879058838E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+008, 4.4251367449760437E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+009, 5.0353157520294189E-001
-2.0000000000000000E+000, 6.4999997615814209E-001, 9.9989995520000000E+009, 5.2349442243576050E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+003, 4.4460123777389526E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+004, 4.4460123777389526E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+005, 4.5104286074638367E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+006, 5.1323682069778442E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+007, 5.8400666713714600E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+008, 6.6453486680984497E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 5.0000000000000000E+009, 7.5616717338562012E-001
-2.0000000000000000E+000, 1.0000000000000000E+000, 9.9989995520000000E+009, 7.8614586591720581E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+003, 5.5575156211853027E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+004, 5.5575156211853027E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+005, 5.5678963661193848E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+006, 6.3356494903564453E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+007, 7.2092682123184204E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+008, 8.2033485174179077E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 5.0000000000000000E+009, 9.3345028162002563E-001
-2.0000000000000000E+000, 1.2500000000000000E+000, 9.9989995520000000E+009, 9.7045743465423584E-001
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+003, 3.1141340732574463E+000
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+004, 3.1141340732574463E+000
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+005, 3.7161359786987305E+000
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+006, 5.0744810104370117E+000
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+007, 6.9293360710144043E+000
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+008, 9.4621887207031250E+000
-5.0000000000000000E+000, 3.4999999403953552E-001, 5.0000000000000000E+009, 1.2920866012573242E+001
-5.0000000000000000E+000, 3.4999999403953552E-001, 9.9989995520000000E+009, 1.4191067695617676E+001
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+003, 5.7833919525146484E+000
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+004, 5.7833919525146484E+000
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+005, 6.3469071388244629E+000
-5.0000000000000000E+000, 6.4999997615814209E-001, 5.0000000000000000E+006, 8.6668672561645508E+000
