phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8251119995117188E+002, 2.8000000000000000E+002, 6.4307721331715584E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5133934400000000E+008, 8.3779781250000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8760134887695312E+002, 2.8000000000000000E+002, 6.8500884808599949E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6772782400000000E+008, 8.9242606250000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9278323364257812E+002, 2.8000000000000000E+002, 7.2970646433532238E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8519740800000000E+008, 9.5065800000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9805844116210938E+002, 2.8000000000000000E+002, 7.7735665254294872E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0382096000000000E+008, 1.0127365000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0342874145507812E+002, 2.8000000000000000E+002, 8.2815932109951973E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2367657600000000E+008, 1.0789218750000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0889578247070312E+002, 2.8000000000000000E+002, 8.8232876732945442E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4484803200000000E+008, 1.1494935000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9041161537170410E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1446130371093750E+002, 2.8000000000000000E+002, 9.4009414315223694E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6742502400000000E+008, 1.2247501250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7465250492095947E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2012713623046875E+002, 2.8000000000000000E+002, 1.0017015039920807E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9150355200000000E+008, 1.3050117500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5917234420776367E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2589501953125000E+002, 2.8000000000000000E+002, 1.0674144141376019E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8612123046875000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1718659200000000E+008, 1.3906220000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4396618604660034E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3176684570312500E+002, 2.8000000000000000E+002, 1.1375156231224537E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4458489600000000E+008, 1.4819496250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
