phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.8755731201171875E+002, 2.8500000000000000E+002, 9.0502779930830002E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.9274099731445312E+002, 2.8500000000000000E+002, 9.6430126577615738E-003, 1.9999999949504854E-006, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7295001220703125E+003, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.9801809692382812E+002, 2.8500000000000000E+002, 1.0275198146700859E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.0339038085937500E+002, 2.8500000000000000E+002, 1.0949548333883286E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.0885943603515625E+002, 2.8500000000000000E+002, 1.1668971739709377E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.1442715454101562E+002, 2.8500000000000000E+002, 1.2436592020094395E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.2009521484375000E+002, 2.8500000000000000E+002, 1.3255762867629528E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.2586541748046875E+002, 2.8500000000000000E+002, 1.4130092225968838E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.3173965454101562E+002, 2.8500000000000000E+002, 1.5063457190990448E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4389489889144897E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.3771978759765625E+002, 2.8500000000000000E+002, 1.6060030087828636E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2895171642303467E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.4380770874023438E+002, 2.8500000000000000E+002, 1.7124306410551071E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,12, 5.7500000000000000E+003, 4.8736105468750000E+004, 8.1427311897277832E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.5000540161132812E+002, 2.8500000000000000E+002, 1.8261129036545753E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,13, 6.2500000000000000E+003, 4.5783335937500000E+004, 7.9985451698303223E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.5631478881835938E+002, 2.8500000000000000E+002, 1.9475717097520828E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,14, 6.7500000000000000E+003, 4.3009464843750000E+004, 7.8569120168685913E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.6273791503906250E+002, 2.8500000000000000E+002, 2.0773708820343018E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,15, 7.2500000000000000E+003, 4.0403652343750000E+004, 7.7177864313125610E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.6927685546875000E+002, 2.8500000000000000E+002, 2.2161196917295456E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,16, 7.7500000000000000E+003, 3.7955718750000000E+004, 7.5811243057250977E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.7593368530273438E+002, 2.8500000000000000E+002, 2.3644758388400078E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,17, 8.2500000000000000E+003, 3.5656097656250000E+004, 7.4468827247619629E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.8271047973632812E+002, 2.8500000000000000E+002, 2.5231525301933289E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,18, 8.7500000000000000E+003, 3.3495804687500000E+004, 7.3150175809860229E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.8960946655273438E+002, 2.8500000000000000E+002, 2.6929216459393501E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,19, 9.2500000000000000E+003, 3.1466394531250000E+004, 7.1854877471923828E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 3.9663278198242188E+002, 2.8500000000000000E+002, 2.8746206313371658E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,20, 9.7500000000000000E+003, 2.9559943359375000E+004, 7.0582515001296997E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 4.0378271484375000E+002, 2.8500000000000000E+002, 3.0691584572196007E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,21, 1.0250000000000000E+004, 2.7768996093750000E+004, 6.9332683086395264E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 4.1106155395507812E+002, 2.8500000000000000E+002, 3.2775241881608963E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,22, 1.0750000000000000E+004, 2.6086560546875000E+004, 6.8104988336563110E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 4.1847155761718750E+002, 2.8500000000000000E+002, 3.5007935017347336E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,23, 1.1250000000000000E+004, 2.4506052734375000E+004, 6.6899025440216064E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 4.2601516723632812E+002, 2.8500000000000000E+002, 3.7401415407657623E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,24, 1.1750000000000000E+004, 2.3021306640625000E+004, 6.5714418888092041E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 4.3369476318359375E+002, 2.8500000000000000E+002, 3.9968471974134445E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.8756457519531250E+002, 2.8500720214843750E+002, 9.0473378077149391E-003, 2.9400096082099481E-006, 7.8628964450544458E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3498864746093750E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 2.9274856567382812E+002, 2.8500738525390625E+002, 9.6399961039423943E-003, 5.0166827350039966E-006, 6.3347549428272032E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8931898117065430E+001, 2.5317176550743170E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
