phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.7055612182617188E+002, 2.6814999389648438E+002, 2.7176251169294119E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.7543331909179688E+002, 2.6814999389648438E+002, 2.8937119059264660E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.8039843750000000E+002, 2.6814999389648438E+002, 3.0812651384621859E-003, 0.0000000000000000E+000, 2.9947963776066899E-004, 4.7482922127528582E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3585872802734375E+003, 4.7198188476562500E+003, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.8545306396484375E+002, 2.6814999389648438E+002, 3.2810377888381481E-003, 0.0000000000000000E+000, 2.4315839982591569E-004, 3.1410650080943014E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.9872540283203125E+002, 3.8321923828125000E+003, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.9059881591796875E+002, 2.6814999389648438E+002, 3.4938352182507515E-003, 0.0000000000000000E+000, 1.3951296568848193E-004, 1.3745352589467075E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9328375244140625E+002, 2.1987336425781250E+003, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.9583734130859375E+002, 2.6814999389648438E+002, 3.7205161061137915E-003, 0.0000000000000000E+000, 5.6564404076198116E-005, 3.9790027273056694E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1384771728515625E+002, 8.9145880126953125E+002, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.0117025756835938E+002, 2.6814999389648438E+002, 3.9619971066713333E-003, 0.0000000000000000E+000, 1.6205969586735591E-005, 7.6196009501927620E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1801296234130859E+001, 2.5540715026855469E+002, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.0659933471679688E+002, 2.6814999389648438E+002, 4.2192577384412289E-003, 0.0000000000000000E+000, 3.2810305583552690E-006, 9.6522712045299386E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7617197036743164E+000, 5.1709259033203125E+001, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.1212625122070312E+002, 2.6814999389648438E+002, 4.4933422468602657E-003, 0.0000000000000000E+000, 4.6940604647716100E-007, 8.0884701714190044E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3142831027507782E-001, 7.3978700637817383E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4389489889144897E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.1775283813476562E+002, 2.6814999389648438E+002, 4.7853668220341206E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2895171642303467E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.2348083496093750E+002, 2.6814999389648438E+002, 5.0965254195034504E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,12, 5.7500000000000000E+003, 4.8736105468750000E+004, 8.1427311897277832E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.2931210327148438E+002, 2.6814999389648438E+002, 5.4280920885503292E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,13, 6.2500000000000000E+003, 4.5783335937500000E+004, 7.9985451698303223E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.3524844360351562E+002, 2.6814999389648438E+002, 5.7814274914562702E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,14, 6.7500000000000000E+003, 4.3009464843750000E+004, 7.8569120168685913E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.4129183959960938E+002, 2.6814999389648438E+002, 6.1579891480505466E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,15, 7.2500000000000000E+003, 4.0403652343750000E+004, 7.7177864313125610E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.4744418334960938E+002, 2.6814999389648438E+002, 6.5593337640166283E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,16, 7.7500000000000000E+003, 3.7955718750000000E+004, 7.5811243057250977E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.5370742797851562E+002, 2.6814999389648438E+002, 6.9871265441179276E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,17, 8.2500000000000000E+003, 3.5656097656250000E+004, 7.4468827247619629E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.6008355712890625E+002, 2.6814999389648438E+002, 7.4431500397622585E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,18, 8.7500000000000000E+003, 3.3495804687500000E+004, 7.3150175809860229E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.6657464599609375E+002, 2.6814999389648438E+002, 7.9293111339211464E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,19, 9.2500000000000000E+003, 3.1466394531250000E+004, 7.1854877471923828E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.7318273925781250E+002, 2.6814999389648438E+002, 8.4476536139845848E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,20, 9.7500000000000000E+003, 2.9559943359375000E+004, 7.0582515001296997E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.7990994262695312E+002, 2.6814999389648438E+002, 9.0003637596964836E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,21, 1.0250000000000000E+004, 2.7768996093750000E+004, 6.9332683086395264E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.8675842285156250E+002, 2.6814999389648438E+002, 9.5897875726222992E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,22, 1.0750000000000000E+004, 2.6086560546875000E+004, 6.8104988336563110E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.9373031616210938E+002, 2.6814999389648438E+002, 1.0218434967100620E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,23, 1.1250000000000000E+004, 2.4506052734375000E+004, 6.6899025440216064E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 4.0082794189453125E+002, 2.6814999389648438E+002, 1.0889006778597832E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,24, 1.1750000000000000E+004, 2.3021306640625000E+004, 6.5714418888092041E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 4.0805349731445312E+002, 2.6814999389648438E+002, 1.1604389175772667E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.7055612182617188E+002, 2.6814999389648438E+002, 2.7176251169294119E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.7543331909179688E+002, 2.6814999389648438E+002, 2.8937119059264660E-003, 0.0000000000000000E+000, 2.6807983610765973E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0571016035974026E-003, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-2.8474987030029297E+001
after,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.8044598388671875E+002, 2.6819546508789062E+002, 3.0813720077276230E-003, 0.0000000000000000E+000, 1.5705320402048528E-004, 3.7823014054083615E-007, 9.8520914093569445E-008, 1.4231776003725827E-004, 1.3419833984375000E+003, 4.4457895507812500E+003, 2.4900000425986946E-006, 6.9809444539714605E-005, 4.7054054448381066E-005, 3.5266563415527344E+001
after,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.8547827148437500E+002, 2.6817367553710938E+002, 3.2810843549668789E-003, 0.0000000000000000E+000, 1.6902660718187690E-004, 2.8203004376337049E-007, 4.0918560983982388E-008, 7.4076335295103490E-005, 8.9041558837890625E+002, 3.6764353027343750E+003, 2.4900000425986946E-006, 7.2579176048748195E-005, 3.3414078643545508E-005, 3.3039825439453125E+001
after,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.9060510253906250E+002, 2.6815579223632812E+002, 3.4938335884362459E-003, 0.0000000000000000E+000, 1.2148206587880850E-004, 1.3186784997287759E-007, 1.4575155304896725E-008, 1.8023460143012926E-005, 3.9104751586914062E+002, 2.1553688964843750E+003, 2.4900000425986946E-006, 7.4110706918872893E-005, 2.2443338821176440E-005, 2.9099435806274414E+001
after,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 2.9583807373046875E+002, 2.6815066528320312E+002, 3.7205123808234930E-003, 0.0000000000000000E+000, 5.4514384828507900E-005, 3.9467863643949386E-008, 4.0860879124693383E-009, 2.0499101083260030E-006, 1.1347635650634766E+002, 8.8546295166015625E+002, 2.4900000425986946E-006, 7.4878516898024827E-005, 1.3810905329592060E-005, 2.4133052825927734E+001
after,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 1.0000000000000000E+008, 3.0117028808593750E+002, 2.6815002441406250E+002, 3.9619961753487587E-003, 0.0000000000000000E+000, 1.6096977560664527E-005, 6.6662568798392385E-009, 1.7927785922466910E-009, 1.0898563118644233E-007, 2.1715784072875977E+001, 2.5499064636230469E+002, 2.4900000425986946E-006, 7.1825721533969045E-005, 1.0001544978877064E-005, 1.8044878005981445E+001
