phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 6.0240562538282916E-010, 5.0000000000000000E+002, 2.9298056030273438E+002, 2.9037500000000000E+002, 1.2667724862694740E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2968625739268047E-012, 1.6188536622330219E-011, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 7.1157799652610265E-009, 5.0000000000000000E+002, 2.9492370605468750E+002, 2.8712500000000000E+002, 1.0371454991400242E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1893765486381547E-011, 9.3737864692577944E-011, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 7.2033294884477073E-008, 5.0000000000000000E+002, 2.9684173583984375E+002, 2.8387500000000000E+002, 8.4914295002818108E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.4971662478737784E-011, 4.8950532516300882E-010, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 6.2491915286955191E-007, 5.0000000000000000E+002, 2.9873306274414062E+002, 2.8062500000000000E+002, 6.9521944969892502E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.6026206724245640E-010, 2.3053359221592018E-009, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 4.6461514102702495E-006, 5.0000000000000000E+002, 3.0059609985351562E+002, 2.7737500000000000E+002, 5.6919753551483154E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9965635245664544E-009, 9.7914325536407887E-009, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 2.9603470466099679E-005, 5.0000000000000000E+002, 3.0242926025390625E+002, 2.7412500000000000E+002, 4.6601952053606510E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1062328769971828E-008, 3.7505341055066310E-008, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.6164818953257054E-004, 5.0000000000000000E+002, 3.0423083496093750E+002, 2.7087500000000000E+002, 3.8154453504830599E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.6643738345392194E-008, 1.2956111561379657E-007, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 7.5644731987267733E-004, 5.0000000000000000E+002, 3.0599905395507812E+002, 2.6762500000000000E+002, 3.1238223891705275E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8609081798313127E-007, 4.0363673292631574E-007, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 3.0336482450366020E-003, 5.0000000000000000E+002, 3.0773217773437500E+002, 2.6437500000000000E+002, 2.5575691834092140E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3429310001811245E-006, 1.1340754326738534E-006, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4389489889144897E-001, 1.0426326654851437E-002, 5.0000000000000000E+002, 3.0942834472656250E+002, 2.6112500000000000E+002, 2.0939607638865709E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0669278860150371E-006, 2.8736139938700944E-006, 0.0000000000000000E+000, 8.0000000000000000E+005, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
