phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 9.5787137746810913E-002, 5.0000000000000000E+002, 2.9298056030273438E+002, 2.9037500000000000E+002, 1.2667723931372166E-002, 1.9193605112377554E-005, 6.0332036809995770E-005, 2.9974229764917482E-009, 1.4801734948832745E-008, 1.9895841418815507E-008, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051031250000000E+004, 9.7355681657791138E-001, 2.1889108419418335E-001, 5.0000000000000000E+002, 2.9492373657226562E+002, 2.8712500000000000E+002, 1.0371455922722816E-002, 4.8448582674609497E-005, 1.3020292681176215E-004, 1.5796748797924920E-008, 8.0824094084164244E-008, 1.5313617041101679E-007, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534523437500000E+004, 9.5631766319274902E-001, 4.5111170411109924E-001, 5.0000000000000000E+002, 2.9684173583984375E+002, 2.8387500000000000E+002, 8.4914295002818108E-003, 1.0480569471837953E-004, 2.0902771211694926E-004, 7.2482805535400985E-008, 3.7822363196937658E-007, 9.1327967766119400E-007, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 8.3844554424285889E-001, 5.0000000000000000E+002, 2.9873306274414062E+002, 2.8062500000000000E+002, 6.9521944969892502E-003, 1.9429781241342425E-004, 2.4963045143522322E-004, 2.8956813480363053E-007, 1.5168241134233540E-006, 4.2202691474813037E-006, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483968750000000E+004, 9.2274981737136841E-001, 1.4054019451141357E+000, 5.0000000000000000E+002, 3.0059609985351562E+002, 2.7737500000000000E+002, 5.6919753551483154E-003, 3.0869542388245463E-004, 2.2176947095431387E-004, 1.0071983069792623E-006, 5.2131631491647568E-006, 1.5110795175132807E-005, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910609375000000E+004, 9.0641027688980103E-001, 2.1245210170745850E+000, 5.0000000000000000E+002, 3.0242926025390625E+002, 2.7412500000000000E+002, 4.6601956710219383E-003, 4.2031190241687000E-004, 1.4656034181825817E-004, 3.0501962555717910E-006, 1.5354882634710521E-005, 4.1922277887351811E-005, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614367187500000E+004, 8.9036017656326294E-001, 2.8963861465454102E+000, 5.0000000000000000E+002, 3.0423080444335938E+002, 2.7087500000000000E+002, 3.8154453504830599E-003, 4.9044738989323378E-004, 7.2051283495966345E-005, 8.0424588304595090E-006, 3.8758862501708791E-005, 9.0118315711151809E-005, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578402343750000E+004, 8.7459421157836914E-001, 3.5611209869384766E+000, 5.0000000000000000E+002, 3.0599905395507812E+002, 2.6762500000000000E+002, 3.1238221563398838E-003, 4.9044738989323378E-004, 2.6349805921199732E-005, 1.8462838852428831E-005, 8.3844555774703622E-005, 1.5010387869551778E-004, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 3.9486792087554932E+000, 5.0000000000000000E+002, 3.0773217773437500E+002, 2.6437500000000000E+002, 2.5575694162398577E-003, 4.2031190241687000E-004, 7.1684230533719528E-006, 3.6902554711559787E-005, 1.5543824702035636E-004, 1.9372305541764945E-004, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225242187500000E+004, 8.4389489889144897E-001, 3.9486792087554932E+000, 5.0000000000000000E+002, 3.0942834472656250E+002, 2.6112500000000000E+002, 2.0939607638865709E-003, 3.0869542388245463E-004, 1.4507086234516464E-006, 6.4218889747280627E-005, 2.4695630418136716E-004, 1.9372305541764945E-004, 8.0000000000000000E+005, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
