phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7660995483398438E+002, 2.7414999389648438E+002, 4.2452216148376465E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2564258940983564E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8159628295898438E+002, 2.7414999389648438E+002, 4.5210043899714947E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8993168487213552E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8667251586914062E+002, 2.7414999389648438E+002, 4.8148417845368385E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8993168487213552E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9184024047851562E+002, 2.7414999389648438E+002, 5.1279324106872082E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2564258940983564E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9710110473632812E+002, 2.7414999389648438E+002, 5.4615596309304237E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.4981410357868299E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0245684814453125E+002, 2.7414999389648438E+002, 5.8170943520963192E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5916009942884557E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0790911865234375E+002, 2.7414999389648438E+002, 6.1960020102560520E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0478402095468482E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1345965576171875E+002, 2.7414999389648438E+002, 6.5998495556414127E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8609081798313127E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1911026000976562E+002, 2.7414999389648438E+002, 7.0303143002092838E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2353881351809832E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4389489889144897E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2486273193359375E+002, 2.7414999389648438E+002, 7.4891895055770874E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2895171642303467E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3071890258789062E+002, 2.7414999389648438E+002, 7.9783964902162552E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,12, 5.7500000000000000E+003, 4.8736105468750000E+004, 8.1427311897277832E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3668063354492188E+002, 2.7414999389648438E+002, 8.4999911487102509E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,13, 6.2500000000000000E+003, 4.5783335937500000E+004, 7.9985451698303223E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.4274981689453125E+002, 2.7414999389648438E+002, 9.0561741963028908E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,14, 6.7500000000000000E+003, 4.3009464843750000E+004, 7.8569120168685913E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.4892843627929688E+002, 2.7414999389648438E+002, 9.6493083983659744E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,15, 7.2500000000000000E+003, 4.0403652343750000E+004, 7.7177864313125610E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.5521841430664062E+002, 2.7414999389648438E+002, 1.0281922295689583E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,16, 7.7500000000000000E+003, 3.7955718750000000E+004, 7.5811243057250977E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.6162182617187500E+002, 2.7414999389648438E+002, 1.0956730693578720E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,17, 8.2500000000000000E+003, 3.5656097656250000E+004, 7.4468827247619629E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.6814059448242188E+002, 2.7414999389648438E+002, 1.1676644906401634E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,18, 8.7500000000000000E+003, 3.3495804687500000E+004, 7.3150175809860229E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.7477694702148438E+002, 2.7414999389648438E+002, 1.2444791384041309E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,19, 9.2500000000000000E+003, 3.1466394531250000E+004, 7.1854877471923828E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.8153289794921875E+002, 2.7414999389648438E+002, 1.3264529407024384E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,20, 9.7500000000000000E+003, 2.9559943359375000E+004, 7.0582515001296997E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.8841064453125000E+002, 2.7414999389648438E+002, 1.4139464125037193E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,21, 1.0250000000000000E+004, 2.7768996093750000E+004, 6.9332683086395264E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.9541235351562500E+002, 2.7414999389648438E+002, 1.5073481015861034E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,22, 1.0750000000000000E+004, 2.6086560546875000E+004, 6.8104988336563110E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 4.0254025268554688E+002, 2.7414999389648438E+002, 1.6070753335952759E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,23, 1.1250000000000000E+004, 2.4506052734375000E+004, 6.6899025440216064E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 4.0979669189453125E+002, 2.7414999389648438E+002, 1.7135784029960632E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,24, 1.1750000000000000E+004, 2.3021306640625000E+004, 6.5714418888092041E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 4.1718392944335938E+002, 2.7414999389648438E+002, 1.8273415043950081E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7660842895507812E+002, 2.7414846801757812E+002, 4.2447452433407307E-003, 4.7637033162573061E-007, 8.4662287918035872E-006, 0.0000000000000000E+000, 1.1879255180247128E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9315974426269531E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 8.3316880045458674E-004, 2.2580133438110352E+001
after,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8159408569335938E+002, 2.7414785766601562E+002, 4.5203003101050854E-003, 7.0422788667201530E-007, 1.1640268894552719E-005, 0.0000000000000000E+000, 1.7809047130867839E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2666929626464844E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 9.6175278304144740E-004, 2.5191064834594727E+001
after,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8667034912109375E+002, 2.7414794921875000E+002, 4.8141125589609146E-003, 7.2925354288599920E-007, 1.1317662028886843E-005, 0.0000000000000000E+000, 1.7658367869444191E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3160011291503906E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 9.3333516269922256E-004, 2.4607042312622070E+001
after,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9183874511718750E+002, 2.7414859008789062E+002, 5.1274029538035393E-003, 5.2943750006306800E-007, 7.8101929830154404E-006, 0.0000000000000000E+000, 1.1576251563383266E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0681286621093750E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 7.6136342249810696E-004, 2.0822040557861328E+001
after,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9710037231445312E+002, 2.7414932250976562E+002, 5.4612895473837852E-003, 2.7009002678823890E-007, 3.8594944271608256E-006, 0.0000000000000000E+000, 5.0086749979527667E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6303938293457031E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 5.2167917601764202E-004, 1.3903934478759766E+001
after,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0245657348632812E+002, 2.7414974975585938E+002, 5.8169923722743988E-003, 1.0194745669878102E-007, 1.3867820598534308E-006, 0.0000000000000000E+000, 1.4234288755687885E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1542658233642578E+002, 2.5100000584643567E-006, 4.9899999794433825E-006, 2.9963959241285920E-004, 4.0942125320434570E+000
after,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0790905761718750E+002, 2.7414993286132812E+002, 6.1959754675626755E-003, 2.6396785202109641E-008, 3.7038742561890103E-007, 0.0000000000000000E+000, 2.6257953322783578E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.5163436889648438E+001, 2.5100000584643567E-006, 4.9899999794433825E-006, 1.4355524035636336E-004,-9.0713577270507812E+000
after,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1345965576171875E+002, 2.7414999389648438E+002, 6.5998425707221031E-003, 6.9635048838279090E-009, 7.5417958100842952E-008, 0.0000000000000000E+000, 3.0464815381492372E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.6252231597900391E+001, 2.5100000584643567E-006, 4.9899999794433825E-006, 5.6612607295392081E-005,-2.1391080856323242E+001
