phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 3.3938637375831604E-001, 5.0000000000000000E+002, 2.9298056030273438E+002, 2.9037500000000000E+002, 1.2667723931372166E-002, 5.5958877055672929E-005, 1.6067543765529990E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051031250000000E+004, 9.7355681657791138E-001, 8.3707773685455322E-001, 5.0000000000000000E+002, 2.9492373657226562E+002, 2.8712500000000000E+002, 1.0371455922722816E-002, 2.6186439208686352E-004, 3.2099575037136674E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534523437500000E+004, 9.5631766319274902E-001, 1.4589502811431885E+000, 5.0000000000000000E+002, 2.9684173583984375E+002, 2.8387500000000000E+002, 8.4914295002818108E-003, 6.6099927062168717E-004, 3.2099575037136674E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.7968776226043701E+000, 5.0000000000000000E+002, 2.9873306274414062E+002, 2.8062500000000000E+002, 6.9521944969892502E-003, 8.9999998454004526E-004, 1.6067543765529990E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483968750000000E+004, 9.2274981737136841E-001, 1.5638670921325684E+000, 5.0000000000000000E+002, 3.0059609985351562E+002, 2.7737500000000000E+002, 5.6919753551483154E-003, 6.6099927062168717E-004, 4.0257789805764332E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910609375000000E+004, 9.0641027688980103E-001, 9.6179926395416260E-001, 5.0000000000000000E+002, 3.0242926025390625E+002, 2.7412500000000000E+002, 4.6601956710219383E-003, 2.6186439208686352E-004, 5.0489402383391280E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614367187500000E+004, 8.9036017656326294E-001, 4.1799622774124146E-001, 5.0000000000000000E+002, 3.0423080444335938E+002, 2.7087500000000000E+002, 3.8154453504830599E-003, 5.5958877055672929E-005, 3.1695776669948827E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578402343750000E+004, 8.7459421157836914E-001, 1.2837001681327820E-001, 5.0000000000000000E+002, 3.0599905395507812E+002, 2.6762500000000000E+002, 3.1238221563398838E-003, 6.4502751229156274E-006, 9.9598365110864506E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 2.7858518064022064E-002, 5.0000000000000000E+002, 3.0773217773437500E+002, 2.6437500000000000E+002, 2.5575694162398577E-003, 4.0105609855345392E-007, 1.5665807540088394E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225242187500000E+004, 8.4389489889144897E-001, 4.2722462676465511E-003, 5.0000000000000000E+002, 3.0942834472656250E+002, 2.6112500000000000E+002, 2.0939607638865709E-003, 1.3450809355219917E-008, 1.2334027028881867E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
