field,step,k,j,i,value,bits
znw,0,1,0,0, 1.000000000E+000,1065353216
znw,0,2,0,0, 9.601345062E-001,1064684384
znw,0,3,0,0, 9.205431342E-001,1064020151
znw,0,4,0,0, 8.812335134E-001,1063360645
znw,0,5,0,0, 8.422141075E-001,1062706008
znw,0,6,0,0, 8.034937382E-001,1062056388
znw,0,7,0,0, 7.650820017E-001,1061411946
znw,0,8,0,0, 7.269890904E-001,1060772853
znw,0,9,0,0, 6.892260909E-001,1060139295
znw,0,10,0,0, 6.518049240E-001,1059511472
znw,0,11,0,0, 6.147386432E-001,1058889603
znw,0,12,0,0, 5.780411959E-001,1058273922
znw,0,13,0,0, 5.417282581E-001,1057664692
znw,0,14,0,0, 5.058166981E-001,1057062196
znw,0,15,0,0, 4.703254700E-001,1055968896
znw,0,16,0,0, 4.352752566E-001,1054792806
znw,0,17,0,0, 4.006896615E-001,1053632306
znw,0,18,0,0, 3.665949702E-001,1052488278
znw,0,19,0,0, 3.330212831E-001,1051361732
znw,0,20,0,0, 3.000030816E-001,1050253825
znw,0,21,0,0, 2.675805092E-001,1049165904
znw,0,22,0,0, 2.358009219E-001,1047623116
znw,0,23,0,0, 2.047210336E-001,1045537380
znw,0,24,0,0, 1.744102985E-001,1043503261
znw,0,25,0,0, 1.449559182E-001,1041526611
znw,0,26,0,0, 1.164711788E-001,1039042673
znw,0,27,0,0, 8.911000192E-002,1035370318
znw,0,28,0,0, 6.309572607E-002,1031878741
znw,0,29,0,0, 3.878737986E-002,1025433476
znw,0,30,0,0, 1.688318700E-002,1015697052
znw,0,31,0,0, 0.000000000E+000,0
dnw,0,1,0,0,-3.986549377E-002,-1121760768
dn,0,1,0,0, 0.000000000E+000,0
fnm,0,1,0,0, 0.000000000E+000,0
fnp,0,1,0,0, 0.000000000E+000,0
dnw,0,2,0,0,-3.959137201E-002,-1121834352
dn,0,2,0,0,-3.972843289E-002,-1121797560
fnm,0,2,0,0, 5.017249584E-001,1056993548
fnp,0,2,0,0, 4.982750416E-001,1056906728
dnw,0,3,0,0,-3.930962086E-002,-1121909984
dn,0,3,0,0,-3.945049644E-002,-1121872168
fnm,0,3,0,0, 5.017854571E-001,1056994563
fnp,0,3,0,0, 4.982145131E-001,1056904697
dnw,0,4,0,0,-3.901940584E-002,-1121987888
dn,0,4,0,0,-3.916451335E-002,-1121948936
fnm,0,4,0,0, 5.018525124E-001,1056995688
fnp,0,4,0,0, 4.981474578E-001,1056902447
dnw,0,5,0,0,-3.872036934E-002,-1122068160
dn,0,5,0,0,-3.886988759E-002,-1122028024
fnm,0,5,0,0, 5.019233227E-001,1056996876
fnp,0,5,0,0, 4.980766773E-001,1056900072
dnw,0,6,0,0,-3.841173649E-002,-1122151008
dn,0,6,0,0,-3.856605291E-002,-1122109584
fnm,0,6,0,0, 5.020006895E-001,1056998174
fnp,0,6,0,0, 4.979993105E-001,1056897476
dnw,0,7,0,0,-3.809291124E-002,-1122236592
dn,0,7,0,0,-3.825232387E-002,-1122193800
fnm,0,7,0,0, 5.020837188E-001,1056999567
fnp,0,7,0,0, 4.979163110E-001,1056894691
dnw,0,8,0,0,-3.776299953E-002,-1122325152
dn,0,8,0,0,-3.792795539E-002,-1122280872
fnm,0,8,0,0, 5.021746159E-001,1057001092
fnp,0,8,0,0, 4.978254139E-001,1056891641
dnw,0,9,0,0,-3.742116690E-002,-1122416912
dn,0,9,0,0,-3.759208322E-002,-1122371032
fnm,0,9,0,0, 5.022733212E-001,1057002748
fnp,0,9,0,0, 4.977267087E-001,1056888329
dnw,0,10,0,0,-3.706628084E-002,-1122512176
dn,0,10,0,0,-3.724372387E-002,-1122464544
fnm,0,10,0,0, 5.023821592E-001,1057004574
fnp,0,10,0,0, 4.976178110E-001,1056884675
dnw,0,11,0,0,-3.669744730E-002,-1122611184
dn,0,11,0,0,-3.688186407E-002,-1122561680
fnm,0,11,0,0, 5.025001168E-001,1057006553
fnp,0,11,0,0, 4.974999130E-001,1056880719
dnw,0,12,0,0,-3.631293774E-002,-1122714400
dn,0,12,0,0,-3.650519252E-002,-1122662792
fnm,0,12,0,0, 5.026332736E-001,1057008787
fnp,0,12,0,0, 4.973667562E-001,1056876251
dnw,0,13,0,0,-3.591156006E-002,-1122822144
dn,0,13,0,0,-3.611224890E-002,-1122768272
fnm,0,13,0,0, 5.027787089E-001,1057011227
fnp,0,13,0,0, 4.972213209E-001,1056871371
dnw,0,14,0,0,-3.549122810E-002,-1122934976
dn,0,14,0,0,-3.570139408E-002,-1122878560
fnm,0,14,0,0, 5.029433966E-001,1057013990
fnp,0,14,0,0, 4.970566034E-001,1056865844
dnw,0,15,0,0,-3.505021334E-002,-1123053360
dn,0,15,0,0,-3.527072072E-002,-1122994168
fnm,0,15,0,0, 5.031259060E-001,1057017052
fnp,0,15,0,0, 4.968740642E-001,1056859719
dnw,0,16,0,0,-3.458559513E-002,-1123178080
dn,0,16,0,0,-3.481790423E-002,-1123115720
