field,step,k,j,i,value,bits
uh,1,0,1,1, 0.000000000E+000,0
up_heli_max,1,0,1,1, 0.000000000E+000,0
uh,1,0,1,2, 0.000000000E+000,0
up_heli_max,1,0,1,2, 0.000000000E+000,0
uh,1,0,1,3, 0.000000000E+000,0
up_heli_max,1,0,1,3, 0.000000000E+000,0
uh,1,0,1,4, 0.000000000E+000,0
up_heli_max,1,0,1,4, 0.000000000E+000,0
uh,1,0,1,5, 0.000000000E+000,0
up_heli_max,1,0,1,5, 0.000000000E+000,0
uh,1,0,1,6, 0.000000000E+000,0
up_heli_max,1,0,1,6, 0.000000000E+000,0
uh,1,0,1,7, 0.000000000E+000,0
up_heli_max,1,0,1,7, 0.000000000E+000,0
uh,1,0,1,8, 0.000000000E+000,0
up_heli_max,1,0,1,8, 0.000000000E+000,0
uh,1,0,1,9, 0.000000000E+000,0
up_heli_max,1,0,1,9, 0.000000000E+000,0
uh,1,0,1,10, 0.000000000E+000,0
up_heli_max,1,0,1,10, 0.000000000E+000,0
uh,1,0,1,11, 0.000000000E+000,0
up_heli_max,1,0,1,11, 0.000000000E+000,0
uh,1,0,1,12, 0.000000000E+000,0
up_heli_max,1,0,1,12, 0.000000000E+000,0
uh,1,0,1,13, 0.000000000E+000,0
up_heli_max,1,0,1,13, 0.000000000E+000,0
uh,1,0,1,14, 0.000000000E+000,0
up_heli_max,1,0,1,14, 0.000000000E+000,0
uh,1,0,2,1, 0.000000000E+000,0
up_heli_max,1,0,2,1, 0.000000000E+000,0
uh,1,0,2,2,-1.462801266E-002,-1133532587
up_heli_max,1,0,2,2, 0.000000000E+000,0
uh,1,0,2,3,-6.413968652E-002,-1115464789
up_heli_max,1,0,2,3, 0.000000000E+000,0
uh,1,0,2,4,-1.928111911E-001,-1102745524
up_heli_max,1,0,2,4, 0.000000000E+000,0
uh,1,0,2,5,-4.318273365E-001,-1092806535
up_heli_max,1,0,2,5, 0.000000000E+000,0
uh,1,0,2,6,-6.057420373E-001,-1088744983
up_heli_max,1,0,2,6, 0.000000000E+000,0
uh,1,0,2,7,-4.473419487E-001,-1092285951
up_heli_max,1,0,2,7, 0.000000000E+000,0
uh,1,0,2,8,-1.029175818E-001,-1110260108
up_heli_max,1,0,2,8, 0.000000000E+000,0
uh,1,0,2,9, 0.000000000E+000,0
up_heli_max,1,0,2,9, 0.000000000E+000,0
uh,1,0,2,10, 0.000000000E+000,0
up_heli_max,1,0,2,10, 0.000000000E+000,0
uh,1,0,2,11, 0.000000000E+000,0
up_heli_max,1,0,2,11, 0.000000000E+000,0
uh,1,0,2,12, 0.000000000E+000,0
up_heli_max,1,0,2,12, 0.000000000E+000,0
uh,1,0,2,13, 0.000000000E+000,0
up_heli_max,1,0,2,13, 0.000000000E+000,0
uh,1,0,2,14, 0.000000000E+000,0
up_heli_max,1,0,2,14, 0.000000000E+000,0
uh,1,0,3,1, 0.000000000E+000,0
up_heli_max,1,0,3,1, 0.000000000E+000,0
uh,1,0,3,2,-1.040785834E-001,-1110104281
up_heli_max,1,0,3,2, 0.000000000E+000,0
uh,1,0,3,3,-5.740743279E-001,-1089276279
up_heli_max,1,0,3,3, 0.000000000E+000,0
uh,1,0,3,4,-1.886574388E+000,-1074693307
up_heli_max,1,0,3,4, 0.000000000E+000,0
uh,1,0,3,5,-3.870639801E+000,-1065895792
up_heli_max,1,0,3,5, 0.000000000E+000,0
uh,1,0,3,6,-4.958427906E+000,-1063343247
up_heli_max,1,0,3,6, 0.000000000E+000,0
uh,1,0,3,7,-3.749234438E+000,-1066405003
up_heli_max,1,0,3,7, 0.000000000E+000,0
uh,1,0,3,8,-1.184039116E+000,-1080586600
up_heli_max,1,0,3,8, 0.000000000E+000,0
uh,1,0,3,9, 0.000000000E+000,0
up_heli_max,1,0,3,9, 0.000000000E+000,0
uh,1,0,3,10, 0.000000000E+000,0
up_heli_max,1,0,3,10, 0.000000000E+000,0
uh,1,0,3,11, 0.000000000E+000,0
up_heli_max,1,0,3,11, 0.000000000E+000,0
uh,1,0,3,12, 0.000000000E+000,0
up_heli_max,1,0,3,12, 0.000000000E+000,0
uh,1,0,3,13, 0.000000000E+000,0
up_heli_max,1,0,3,13, 0.000000000E+000,0
uh,1,0,3,14, 0.000000000E+000,0
up_heli_max,1,0,3,14, 0.000000000E+000,0
uh,1,0,4,1, 0.000000000E+000,0
up_heli_max,1,0,4,1, 0.000000000E+000,0
uh,1,0,4,2,-5.398489833E-001,-1089850485
up_heli_max,1,0,4,2, 0.000000000E+000,0
uh,1,0,4,3,-2.898329496E+000,-1069973957
up_heli_max,1,0,4,3, 0.000000000E+000,0
uh,1,0,4,4,-8.786961555E+000,-1056139419
up_heli_max,1,0,4,4, 0.000000000E+000,0
uh,1,0,4,5,-1.579891014E+001,-1048786858
up_heli_max,1,0,4,5, 0.000000000E+000,0
uh,1,0,4,6,-1.870624542E+001,-1047157148
up_heli_max,1,0,4,6, 0.000000000E+000,0
uh,1,0,4,7,-1.496748543E+001,-1049658670
up_heli_max,1,0,4,7, 0.000000000E+000,0
uh,1,0,4,8,-6.485205650E+000,-1060141362
up_heli_max,1,0,4,8, 0.000000000E+000,0
uh,1,0,4,9, 0.000000000E+000,0
up_heli_max,1,0,4,9, 0.000000000E+000,0
uh,1,0,4,10, 0.000000000E+000,0
up_heli_max,1,0,4,10, 0.000000000E+000,0
uh,1,0,4,11, 0.000000000E+000,0
up_heli_max,1,0,4,11, 0.000000000E+000,0
uh,1,0,4,12, 0.000000000E+000,0
up_heli_max,1,0,4,12, 0.000000000E+000,0
uh,1,0,4,13, 0.000000000E+000,0
up_heli_max,1,0,4,13, 0.000000000E+000,0
uh,1,0,4,14, 0.000000000E+000,0
up_heli_max,1,0,4,14, 0.000000000E+000,0
uh,1,0,5,1, 0.000000000E+000,0
up_heli_max,1,0,5,1, 0.000000000E+000,0
uh,1,0,5,2,-1.854929447E+000,-1074958764
up_heli_max,1,0,5,2, 0.000000000E+000,0
uh,1,0,5,3,-8.483731270E+000,-1056457379
up_heli_max,1,0,5,3, 0.000000000E+000,0
uh,1,0,5,4,-1.768231964E+001,-1047693980
up_heli_max,1,0,5,4, 0.000000000E+000,0
uh,1,0,5,5,-9.454071045E+000,-1055439904
up_heli_max,1,0,5,5, 3.217064667E+001,1107340990
uh,1,0,5,6, 2.087173462E+000,1074107456
up_heli_max,1,0,5,6, 5.621733093E+001,1113644684
uh,1,0,5,7,-8.072486877E+000,-1056888600
up_heli_max,1,0,5,7, 3.310385132E+001,1107585624
uh,1,0,5,8,-1.450454807E+001,-1050144095
up_heli_max,1,0,5,8, 1.768348217E+000,1071798588
uh,1,0,5,9,-8.726789355E-001,-1084266525
up_heli_max,1,0,5,9, 0.000000000E+000,0
uh,1,0,5,10, 0.000000000E+000,0
up_heli_max,1,0,5,10, 0.000000000E+000,0
uh,1,0,5,11, 0.000000000E+000,0
up_heli_max,1,0,5,11, 0.000000000E+000,0
uh,1,0,5,12, 0.000000000E+000,0
up_heli_max,1,0,5,12, 0.000000000E+000,0
uh,1,0,5,13, 0.000000000E+000,0
up_heli_max,1,0,5,13, 0.000000000E+000,0
uh,1,0,5,14, 0.000000000E+000,0
up_heli_max,1,0,5,14, 0.000000000E+000,0
uh,1,0,6,1, 0.000000000E+000,0
up_heli_max,1,0,6,1, 0.000000000E+000,0
uh,1,0,6,2,-3.978286743E+000,-1065444288
up_heli_max,1,0,6,2, 0.000000000E+000,0
uh,1,0,6,3,-1.521628952E+001,-1049397780
up_heli_max,1,0,6,3, 0.000000000E+000,0
uh,1,0,6,4,-7.607882500E+000,-1057786938
up_heli_max,1,0,6,4, 3.340233612E+001,1107663870
uh,1,0,6,5, 1.525018005E+002,1125679222
up_heli_max,1,0,6,5, 2.180329590E+002,1129973872
uh,1,0,6,6, 3.454322510E+002,1135392596
up_heli_max,1,0,6,6, 3.581623535E+002,1135809736
uh,1,0,6,7, 1.509942932E+002,1125580426
up_heli_max,1,0,6,7, 2.178748169E+002,1129963508
uh,1,0,6,8,-5.508076668E+000,-1062190550
up_heli_max,1,0,6,8, 3.591574097E+001,1108322744
uh,1,0,6,9,-7.838146210E+000,-1057304040
up_heli_max,1,0,6,9, 0.000000000E+000,0
uh,1,0,6,10, 0.000000000E+000,0
up_heli_max,1,0,6,10, 0.000000000E+000,0
uh,1,0,6,11, 0.000000000E+000,0
up_heli_max,1,0,6,11, 0.000000000E+000,0
uh,1,0,6,12, 0.000000000E+000,0
up_heli_max,1,0,6,12, 0.000000000E+000,0
uh,1,0,6,13, 0.000000000E+000,0
up_heli_max,1,0,6,13, 0.000000000E+000,0
uh,1,0,6,14, 0.000000000E+000,0
up_heli_max,1,0,6,14, 0.000000000E+000,0
uh,1,0,7,1, 0.000000000E+000,0
up_heli_max,1,0,7,1, 0.000000000E+000,0
uh,1,0,7,2,-5.257669926E+000,-1062715691
up_heli_max,1,0,7,2, 0.000000000E+000,0
uh,1,0,7,3,-1.870883560E+001,-1047155790
up_heli_max,1,0,7,3, 0.000000000E+000,0
uh,1,0,7,4, 4.701748848E+000,1083602106
up_heli_max,1,0,7,4, 5.805475616E+001,1114126354
uh,1,0,7,5, 3.529056396E+002,1135637484
up_heli_max,1,0,7,5, 3.598774414E+002,1135865936
uh,1,0,7,6, 1.526861816E+003,1153358740
up_heli_max,1,0,7,6, 5.934023438E+002,1142184384
uh,1,0,7,7, 3.485993042E+002,1135496374
up_heli_max,1,0,7,7, 3.586941528E+002,1135827162
uh,1,0,7,8, 6.673792362E+000,1087737781
up_heli_max,1,0,7,8, 5.940965271E+001,1114481532
uh,1,0,7,9,-1.362077427E+001,-1051070799
up_heli_max,1,0,7,9, 0.000000000E+000,0
uh,1,0,7,10, 0.000000000E+000,0
up_heli_max,1,0,7,10, 0.000000000E+000,0
uh,1,0,7,11, 0.000000000E+000,0
up_heli_max,1,0,7,11, 0.000000000E+000,0
uh,1,0,7,12, 0.000000000E+000,0
up_heli_max,1,0,7,12, 0.000000000E+000,0
uh,1,0,7,13, 0.000000000E+000,0
up_heli_max,1,0,7,13, 0.000000000E+000,0
uh,1,0,7,14, 0.000000000E+000,0
up_heli_max,1,0,7,14, 0.000000000E+000,0
uh,1,0,8,1, 0.000000000E+000,0
up_heli_max,1,0,8,1, 0.000000000E+000,0
uh,1,0,8,2,-4.224705219E+000,-1064881975
up_heli_max,1,0,8,2, 0.000000000E+000,0
uh,1,0,8,3,-1.614824867E+001,-1048498275
up_heli_max,1,0,8,3, 0.000000000E+000,0
uh,1,0,8,4,-8.404867172E+000,-1056540074
up_heli_max,1,0,8,4, 3.298873138E+001,1107555446
uh,1,0,8,5, 1.525637360E+002,1125683281
up_heli_max,1,0,8,5, 2.175588074E+002,1129942798
uh,1,0,8,6, 3.437388916E+002,1135337108
up_heli_max,1,0,8,6, 3.571476440E+002,1135776486
uh,1,0,8,7, 1.495774841E+002,1125487574
up_heli_max,1,0,8,7, 2.164232788E+002,1129868380
uh,1,0,8,8,-7.169170380E+000,-1058706984
up_heli_max,1,0,8,8, 3.355376816E+001,1107703567
uh,1,0,8,9,-1.347689342E+001,-1051221669
up_heli_max,1,0,8,9, 0.000000000E+000,0
uh,1,0,8,10,-2.091176748E+000,-1073359401
up_heli_max,1,0,8,10, 0.000000000E+000,0
uh,1,0,8,11, 0.000000000E+000,0
up_heli_max,1,0,8,11, 0.000000000E+000,0
uh,1,0,8,12, 0.000000000E+000,0
up_heli_max,1,0,8,12, 0.000000000E+000,0
uh,1,0,8,13, 0.000000000E+000,0
up_heli_max,1,0,8,13, 0.000000000E+000,0
