case,k,ux,vx,tx,qvx,qcx,qix,p2d,pi2d,p2di_k,p2di_kp1,dz8w,rthraten,qmix,utnp,vtnp,ttnp,rthblten,qvtnp,qctnp,qitnp,exch_hx,exch_mx,qmixtnp,utnp_ctopo,vtnp_ctopo
1,1, 6.0187501907348633E+000,-1.4900000095367432E+000, 2.9988031005859375E+002, 1.1940149590373039E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9853156250000000E+004, 9.9958020448684692E-001, 1.0000000000000000E+005, 9.9706312500000000E+004, 2.5000000000000000E+001, 0.0000000000000000E+000, 5.9700747951865196E-003,-5.5003962479531765E-003, 1.7818955238908529E-003, 3.5097429063171148E-003, 3.5112169571220875E-003,-1.3619247738461127E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.8411936935081030E-006,-5.5003962479531765E-003, 1.7818955238908529E-003
1,2, 6.0712499618530273E+000,-1.4620000123977661E+000, 2.9954541015625000E+002, 1.1774152517318726E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9443078125000000E+004, 9.9840563535690308E-001, 9.9706312500000000E+004, 9.9179851562500000E+004, 4.5000000000000000E+001, 0.0000000000000000E+000, 5.8870762586593628E-003,-2.2854276176076382E-004, 6.3321460038423538E-004, 1.2736009666696191E-003, 1.2756347423419356E-003,-3.5066054806520697E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1711383819580078E+001, 7.8264455795288086E+000,-2.0715822302008746E-006,-2.2854276176076382E-004, 6.3321460038423538E-004
1,3, 6.1537499427795410E+000,-1.4179999828338623E+000, 2.9901983642578125E+002, 1.1517950333654881E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8802078125000000E+004, 9.9656260013580322E-001, 9.9179851562500000E+004, 9.8424312500000000E+004, 6.5000000000000000E+001, 0.0000000000000000E+000, 5.7589751668274403E-003, 7.3238479671999812E-004, 4.4107041321694851E-004, 6.9949158933013678E-004, 7.0190429687500000E-004,-3.8082091577962274E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.6341224670410156E+001, 3.0836912155151367E+001,-2.0297709397709696E-006, 7.3238479671999812E-004, 4.4107041321694851E-004
1,4, 6.2662501335144043E+000,-1.3580000400543213E+000, 2.9830468750000000E+002, 1.1177542619407177E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7934640625000000E+004, 9.9405491352081299E-001, 9.8424312500000000E+004, 9.7444976562500000E+004, 8.5000000000000000E+001, 0.0000000000000000E+000, 5.5887713097035885E-003, 9.3679962446913123E-004, 3.6847591400146484E-004, 4.5133449020795524E-004, 4.5403375406749547E-004,-3.4334241263422882E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9445800781250000E+002, 6.9330238342285156E+001,-1.7739212125889026E-006, 9.3679962446913123E-004, 3.6847591400146484E-004
1,5, 6.4087500572204590E+000,-1.2820000648498535E+000, 2.9740130615234375E+002, 1.0760765522718430E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.6846812500000000E+004, 9.9088758230209351E-001, 9.7444976562500000E+004, 9.6248648437500000E+004, 1.0500000000000000E+002, 0.0000000000000000E+000, 5.3803827613592148E-003, 8.7547831935808063E-004, 3.0338234500959516E-004, 2.9970693867653608E-004, 3.0246310052461922E-004,-2.6077859729412012E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3589532470703125E+002, 1.2007976531982422E+002,-1.3318896208147635E-006, 8.7547831935808063E-004, 3.0338234500959516E-004
1,6, 6.5812501907348633E+000,-1.1900000572204590E+000, 2.9631130981445312E+002, 1.0276981629431248E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.5546109375000000E+004, 9.8706686496734619E-001, 9.6248648437500000E+004, 9.4843578125000000E+004, 1.2500000000000000E+002, 0.0000000000000000E+000, 5.1384908147156239E-003, 6.7345303250476718E-004, 2.2287237516138703E-004, 1.8006794562097639E-004, 1.8242730584461242E-004,-1.4914406847310602E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7594238281250000E+002, 1.7598245239257812E+002,-7.5976782909492613E-007, 6.7345303250476718E-004, 2.2287237516138703E-004
1,7, 6.7837500572204590E+000,-1.0820000171661377E+000, 2.9503686523437500E+002, 9.7367428243160248E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.4041484375000000E+004, 9.8260051012039185E-001, 9.4843578125000000E+004, 9.3239382812500000E+004, 1.4500000000000000E+002, 0.0000000000000000E+000, 4.8683714121580124E-003, 3.8314395351335406E-004, 1.2492074165493250E-004, 7.5966025178786367E-005, 7.7311204222496599E-005,-2.7457460305413406E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.6581445312500000E+002, 2.2685223388671875E+002,-1.4412734117286163E-007, 3.8314395351335406E-004, 1.2492074165493250E-004
1,8, 7.0162501335144043E+000,-9.5800000429153442E-001, 2.9358035278320312E+002, 9.1513982042670250E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.2343140625000000E+004, 9.7749739885330200E-001, 9.3239382812500000E+004, 9.1446890625000000E+004, 1.6500000000000000E+002, 0.0000000000000000E+000, 4.5756991021335125E-003, 4.3604111851891503E-005, 1.5479326975764707E-005,-9.9436183518264443E-006,-1.0172526344831567E-005, 8.2316500993329100E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.7203601074218750E+002, 2.6090167236328125E+002, 4.0867988104764663E-007, 4.3604111851891503E-005, 1.5479326975764707E-005
1,9, 7.2787499427795410E+000,-8.1800001859664917E-001, 2.9194448852539062E+002, 8.5327066481113434E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.0462484375000000E+004, 9.7176760435104370E-001, 9.1446890625000000E+004, 8.9478078125000000E+004, 1.8500000000000000E+002, 0.0000000000000000E+000, 4.2663533240556717E-003,-3.0135578708723187E-004,-9.4040900876279920E-005,-6.9197325501590967E-005,-7.1207687142305076E-005, 1.5925926390991663E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9800048828125000E+002, 2.6700747680664062E+002, 7.9562892096873838E-007,-3.0135578708723187E-004,-9.4040900876279920E-005
1,10, 7.5712499618530273E+000,-6.6200000047683716E-001, 2.9013241577148438E+002, 7.8924503177404404E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.8411984375000000E+004, 9.6542263031005859E-001, 8.9478078125000000E+004, 8.7345898437500000E+004, 2.0500000000000000E+002, 0.0000000000000000E+000, 3.9462251588702202E-003,-5.9346092166379094E-004,-1.8624398217070848E-004,-9.3297479907050729E-005,-9.6638999821152538E-005, 1.8952414393424988E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7426092529296875E+002, 2.3784440612792969E+002, 9.4830369334886200E-007,-5.9346092166379094E-004,-1.8624398217070848E-004
1,11, 7.8937501907348633E+000,-4.9000000953674316E-001, 2.8814749145507812E+002, 7.2420667856931686E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.6205015625000000E+004, 9.5847487449645996E-001, 8.7345898437500000E+004, 8.5064132812500000E+004, 2.2500000000000000E+002, 0.0000000000000000E+000, 3.6210333928465843E-003,-7.4887275695800781E-004,-2.3512840562034398E-004,-8.1575926742516458E-005,-8.5110135842114687E-005, 1.7023801319737686E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3453723144531250E+002, 1.7396746826171875E+002, 8.5280436223911238E-007,-7.4887275695800781E-004,-2.3512840562034398E-004
1,12, 8.2462501525878906E+000,-3.0200004577636719E-001, 2.8599337768554688E+002, 6.5923291258513927E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.3855703125000000E+004, 9.5093792676925659E-001, 8.5064132812500000E+004, 8.2647281250000000E+004, 2.4500000000000000E+002, 0.0000000000000000E+000, 3.2961645629256964E-003,-6.3803989905864000E-004,-2.0008318824693561E-004,-3.5469282011035830E-005,-3.7299261748557910E-005, 1.0723144896473968E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0594715118408203E+002, 8.8918777465820312E+001, 5.3860458137933165E-007,-6.3803989905864000E-004,-2.0008318824693561E-004
