case,nz,dt,topdown,psfcpa,znt,ust,hfx,qfx,wspd,br,psim,psih,xland,u10,v10,hpbl,kpbl,wstar,delta,hpbl_ctopo,kpbl_ctopo,wstar_ctopo,delta_ctopo
1,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 5.5000001192092896E-001, 2.5000000000000000E+002, 1.5000000712461770E-004, 6.2004399299621582E+000,-3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001, 1.7653835449218750E+003,14, 2.3991341590881348E+000, 4.0491344451904297E+001
2,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 2.5000000000000000E-001, 4.0000000000000000E+001, 1.9999999494757503E-005, 6.2004399299621582E+000,-5.0000000745058060E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000, 3.9164102172851562E+002,7, 3.8530960679054260E-001, 8.8620166778564453E+000
3,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 1.1999999731779099E-001,-2.5000000000000000E+001, 0.0000000000000000E+000, 6.2004399299621582E+000, 3.4999999403953552E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7332067871093750E+002,4, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7332067871093750E+002,4, 0.0000000000000000E+000, 0.0000000000000000E+000
4,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 7.9999998211860657E-002,-6.0000000000000000E+001,-9.9999999747524271E-007, 6.2004399299621582E+000, 1.2000000476837158E+000, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 1.7332067871093750E+002,4, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7332067871093750E+002,4, 0.0000000000000000E+000, 0.0000000000000000E+000
5,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.0000001192092896E-001, 5.0000000000000000E-001, 1.0000000116860974E-007, 6.2004399299621582E+000, 0.0000000000000000E+000, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 9.0083422851562500E+002,10, 2.3618748784065247E-001, 1.8491977691650391E+001, 9.0083422851562500E+002,10, 2.3618748784065247E-001, 1.8491977691650391E+001
6,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.0000001192092896E-001, 5.0000000000000000E-001, 1.0000000116860974E-007, 6.2004399299621582E+000,-0.0000000000000000E+000, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 9.0083422851562500E+002,10, 2.3618748784065247E-001, 1.8491977691650391E+001, 9.0083422851562500E+002,10, 2.3618748784065247E-001, 1.8491977691650391E+001
7,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.0000001192092896E-001, 5.0000000000000000E-001, 1.0000000116860974E-007, 6.2004399299621582E+000, 1.4012984643248171E-045, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 9.0074108886718750E+002,10, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.0074108886718750E+002,10, 0.0000000000000000E+000, 0.0000000000000000E+000
8,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.0000001192092896E-001, 5.0000000000000000E-001, 1.0000000116860974E-007, 6.2004399299621582E+000,-1.4012984643248171E-045, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 9.0083422851562500E+002,10, 2.3618748784065247E-001, 1.8491977691650391E+001, 9.0083422851562500E+002,10, 2.3618748784065247E-001, 1.8491977691650391E+001
9,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.0000001192092896E-001, 5.0000000000000000E-001, 1.0000000116860974E-007, 6.2004399299621582E+000, 1.1754943508222875E-038, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 9.0074108886718750E+002,10, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.0074108886718750E+002,10, 0.0000000000000000E+000, 0.0000000000000000E+000
10,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 9.9999997473787516E-005, 5.0000000745058060E-002,-8.0000000000000000E+000, 3.0000001061125658E-006, 3.6086773872375488E+000, 6.0000002384185791E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 2.0000000000000000E+000, 3.0000000000000000E+000,-2.0000000000000000E+000, 6.2268768310546875E+001,3, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2268768310546875E+001,3, 0.0000000000000000E+000, 0.0000000000000000E+000
11,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 9.9999997473787516E-005, 5.0000000745058060E-002,-8.0000000000000000E+000, 3.0000001061125658E-006, 3.6086773872375488E+000, 6.0000002384185791E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 2.0000000000000000E+000, 1.4012984643248171E-045,-0.0000000000000000E+000, 1.1769331359863281E+002,4, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1769331359863281E+002,4, 0.0000000000000000E+000, 0.0000000000000000E+000
12,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2004399299621582E+000, 1.9999999552965164E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 7.0335919189453125E+002,9, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.0335919189453125E+002,9, 0.0000000000000000E+000, 0.0000000000000000E+000
13,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 1.4012984643248171E-045, 0.0000000000000000E+000,-0.0000000000000000E+000, 1.0000000133514320E-010,-1.9999999552965164E-002, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 4.7161216735839844E+001,2, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7161216735839844E+001,2, 0.0000000000000000E+000, 0.0000000000000000E+000
14,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.4999999403953552E-001, 8.0000000000000000E+001, 4.9999998736893758E-005, 6.2004399299621582E+000,-1.0000000149011612E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 8.6523065185546875E+002,10, 1.2954456806182861E+000, 2.2960418701171875E+001, 8.6523065185546875E+002,10, 1.2954456806182861E+000, 2.2960418701171875E+001
15,40, 4.5000000000000000E+001,1, 1.0000000000000000E+005, 1.0000000149011612E-001, 3.4999999403953552E-001, 8.0000000000000000E+001, 4.9999998736893758E-005, 6.2004399299621582E+000,-1.0000000149011612E-001, 6.5000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+000, 6.0187501907348633E+000,-1.4900000095367432E+000, 8.6523065185546875E+002,10, 1.2954456806182861E+000, 2.2524932861328125E+001, 8.6523065185546875E+002,10, 1.2954456806182861E+000, 2.2524932861328125E+001
