max_cfl,target_cfl,mif,precision,last_S,last_Sn,last_Sd,out_S,out_Sn,out_Sd,out_real
 0.000000000E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.000000000E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.000000000E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.000000000E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.000000000E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.000000000E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.000000000E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.000000000E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.000000000E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.000000000E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.000000000E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.000000000E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.500000024E-03, 0.120000005E+01, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.500000024E-03, 0.120000005E+01, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.500000024E-03, 0.120000005E+01, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.500000024E-03, 0.839999974E+00, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.500000024E-03, 0.839999974E+00, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.500000024E-03, 0.839999974E+00, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.500000024E-03, 0.200000000E+01, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.500000024E-03, 0.200000000E+01, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.500000024E-03, 0.200000000E+01, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.500000024E-03, 0.500000000E+00, 0.104999995E+01,100,30,0,1,31,1,2, 0.315000000E+02
 0.500000024E-03, 0.500000000E+00, 0.150999999E+01,100,30,0,1,45,3,10, 0.452999992E+02
 0.500000024E-03, 0.500000000E+00, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.100000005E-02, 0.120000005E+01, 0.104999995E+01,100,30,0,1,36000,0,1, 0.360000000E+05
 0.100000005E-02, 0.120000005E+01, 0.150999999E+01,100,30,0,1,36000,0,1, 0.360000000E+05
 0.100000005E-02, 0.120000005E+01, 0.200000000E+01,100,30,0,1,36000,0,1, 0.360000000E+05
 0.100000005E-02, 0.839999974E+00, 0.104999995E+01,100,30,0,1,25200,0,1, 0.252000000E+05
 0.100000005E-02, 0.839999974E+00, 0.150999999E+01,100,30,0,1,25200,0,1, 0.252000000E+05
 0.100000005E-02, 0.839999974E+00, 0.200000000E+01,100,30,0,1,25200,0,1, 0.252000000E+05
 0.100000005E-02, 0.200000000E+01, 0.104999995E+01,100,30,0,1,60000,0,1, 0.600000000E+05
 0.100000005E-02, 0.200000000E+01, 0.150999999E+01,100,30,0,1,60000,0,1, 0.600000000E+05
 0.100000005E-02, 0.200000000E+01, 0.200000000E+01,100,30,0,1,60000,0,1, 0.600000000E+05
 0.100000005E-02, 0.500000000E+00, 0.104999995E+01,100,30,0,1,15000,0,1, 0.150000000E+05
 0.100000005E-02, 0.500000000E+00, 0.150999999E+01,100,30,0,1,15000,0,1, 0.150000000E+05
 0.100000005E-02, 0.500000000E+00, 0.200000000E+01,100,30,0,1,15000,0,1, 0.150000000E+05
 0.999999978E-02, 0.120000005E+01, 0.104999995E+01,100,30,0,1,3600,0,1, 0.360000000E+04
 0.999999978E-02, 0.120000005E+01, 0.150999999E+01,100,30,0,1,3600,0,1, 0.360000000E+04
 0.999999978E-02, 0.120000005E+01, 0.200000000E+01,100,30,0,1,3600,0,1, 0.360000000E+04
 0.999999978E-02, 0.839999974E+00, 0.104999995E+01,100,30,0,1,2520,0,1, 0.252000000E+04
 0.999999978E-02, 0.839999974E+00, 0.150999999E+01,100,30,0,1,2520,0,1, 0.252000000E+04
