route,mechanism,input_id,kernel,device_bits,ieee_reference_bits,flushed_reference_bits,control_bits
R1,plain-operator arithmetic,normal_control,ftz_probe_mul_op,0x40400000,0x40400000,0x40400000,0x40400000
R1,plain-operator arithmetic,subnormal_product,ftz_probe_mul_op,0x00000000,0x000116c2,0x00000000,0x00000000
R1,plain-operator arithmetic,deep_underflow,ftz_probe_mul_op,0x00000000,0x00000001,0x00000000,0x00000000
R1,plain-operator arithmetic,subnormal_operand,ftz_probe_mul_op,0x00000000,0x000116c2,0x00000000,0x00000000
R1,plain-operator arithmetic,min_subnormal_operand,ftz_probe_mul_op,0x00000000,0x00000001,0x00000000,0x00000000
R1,plain-operator arithmetic,negative_subnormal_operand,ftz_probe_mul_op,0x80000000,0x800116c2,0x80000000,0x80000000
R1,plain-operator arithmetic,smallest_normal_control,ftz_probe_mul_op,0x00800000,0x00800000,0x00800000,0x00800000
R1,plain-operator arithmetic,subnormal_vs_zero,ftz_probe_mul_op,0x00000000,0x00000000,0x00000000,0x00000000
R1,plain-operator arithmetic,min_subnormal_vs_zero,ftz_probe_mul_op,0x00000000,0x00000000,0x00000000,0x00000000
R1,__f*_rn intrinsic,normal_control,ftz_probe_mul_rn,0x40400000,0x40400000,0x40400000,0x40400000
R1,__f*_rn intrinsic,subnormal_product,ftz_probe_mul_rn,0x00000000,0x000116c2,0x00000000,0x00000000
R1,__f*_rn intrinsic,deep_underflow,ftz_probe_mul_rn,0x00000000,0x00000001,0x00000000,0x00000000
R1,__f*_rn intrinsic,subnormal_operand,ftz_probe_mul_rn,0x00000000,0x000116c2,0x00000000,0x00000000
R1,__f*_rn intrinsic,min_subnormal_operand,ftz_probe_mul_rn,0x00000000,0x00000001,0x00000000,0x00000000
R1,__f*_rn intrinsic,negative_subnormal_operand,ftz_probe_mul_rn,0x80000000,0x800116c2,0x80000000,0x80000000
R1,__f*_rn intrinsic,smallest_normal_control,ftz_probe_mul_rn,0x00800000,0x00800000,0x00800000,0x00800000
R1,__f*_rn intrinsic,subnormal_vs_zero,ftz_probe_mul_rn,0x00000000,0x00000000,0x00000000,0x00000000
R1,__f*_rn intrinsic,min_subnormal_vs_zero,ftz_probe_mul_rn,0x00000000,0x00000000,0x00000000,0x00000000
R1,fminf/fmaxf,normal_control,ftz_probe_minmax,0x3fc00000,0x3fc00000,0x3fc00000,0x3fc00000
R1,fminf/fmaxf,subnormal_product,ftz_probe_minmax,0x1e3ce508,0x1e3ce508,0x1e3ce508,0x1e3ce508
R1,fminf/fmaxf,deep_underflow,ftz_probe_minmax,0x0da24260,0x0da24260,0x0da24260,0x0da24260
R1,fminf/fmaxf,subnormal_operand,ftz_probe_minmax,0x00000000,0x000116c2,0x00000000,0x00000000
R1,fminf/fmaxf,min_subnormal_operand,ftz_probe_minmax,0x00000000,0x00000001,0x00000000,0x00000000
R1,fminf/fmaxf,negative_subnormal_operand,ftz_probe_minmax,0x80000000,0x800116c2,0x80000000,0x80000000
R1,fminf/fmaxf,smallest_normal_control,ftz_probe_minmax,0x00800000,0x00800000,0x00800000,0x00800000
R1,fminf/fmaxf,subnormal_vs_zero,ftz_probe_minmax,0x00000000,0x00000000,0x00000000,0x00000000
